% Model,COMSOL_Three_Pipes_Phase_2.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 22 2026, 17:03"
% Table,c_CNN_Outlet_Phase_2 - Surface Average 2
% Time (s),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3)
22.1,0.007701265746141776,0.0038887925405549483,0.0013076264380912082
22.200000000000003,0.008898259204745192,0.004518239932923009,0.0015596538889816006
22.3,0.010237393854169346,0.00523762791847316,0.001850748768390214
22.400000000000002,0.011727885411913152,0.006054397795095224,0.0021893420076778136
22.5,0.013378949595475375,0.0069759908606788715,0.0025838645382051215
22.6,0.015222902431433991,0.008010258697112655,0.00303655132779526
22.700000000000003,0.01728597364706628,0.00916411015071657,0.003549164472357668
22.8,0.019568249510920267,0.01044357241602762,0.004129425595382589
22.900000000000002,0.02206981629154419,0.01185467268758295,0.004785056320360349
23,0.02479076025748601,0.013403438159919522,0.005523778270781165
23.1,0.027754345831313407,0.015116399974838142,0.006357094651643139
23.200000000000003,0.030983670896006836,0.01701675372989327,0.007293104034949604
23.3,0.03447857191073372,0.019105523303252457,0.008334421094698733
23.400000000000002,0.03823888533466187,0.02138373257308353,0.009483660504888828
23.5,0.04226444762695857,0.023852405417554023,0.01074343693951803
23.6,0.04656159382995066,0.026517014375113678,0.012130052303179388
23.700000000000003,0.05113286532177098,0.029386074902357107,0.013662270780268028
23.8,0.05597240806529645,0.032465175254669305,0.015346400464485481
23.900000000000002,0.06107436802340465,0.03575990368743573,0.01718874944953339
24,0.06643289115897229,0.03927584845604131,0.019195625829113185
24.1,0.07203515285715167,0.04301334527599003,0.021364625354493804
24.200000000000003,0.07786041932105707,0.04696618784441542,0.023693388178778474
24.3,0.083890972740509,0.051130151389147435,0.026188288998420527
24.400000000000002,0.0901090953053291,0.055501011138016504,0.028855702509873637
24.5,0.09649706920533781,0.0600745423188525,0.031702003409590986
24.6,0.10302883597279795,0.06484598874776061,0.034726952295095315
24.700000000000003,0.1096688098868625,0.06979985534069086,0.03792453206893874
24.8,0.11638498225768915,0.0749158089752409,0.04129245088511864
24.900000000000002,0.12314534439543587,0.08017351652900877,0.044828416897632964
25,0.12991788761026002,0.08555264487959212,0.04853013826047902
25.1,0.1366729757118667,0.091041712389225,0.05238930166554746
25.200000000000003,0.14337650826349713,0.09662944215125063,0.0563951760991734
25.3,0.14998978020561335,0.10229580813993071,0.0605418431570216
25.400000000000002,0.1564740864786785,0.10802078432952779,0.06482338443475738
25.5,0.1627907220231539,0.11378434469430322,0.06923388152804544
25.6,0.16891586227720334,0.11954404114750755,0.07374033944261817
25.700000000000003,0.17482943889373193,0.12525517484013465,0.07831604430800182
25.8,0.18049838113531458,0.13089434360306337,0.08296449940555303
25.900000000000002,0.18588961826452707,0.13643814526717238,0.08768920801662848
26,0.1909700795439444,0.14186317766334022,0.09249367342258454
26.1,0.1957259695270393,0.14715084684159924,0.09732115065786387
26.200000000000003,0.20015920820380528,0.15228957163872708,0.10210621078041902
26.3,0.20426029799159953,0.15726646906572142,0.10683933110687178
26.400000000000002,0.2080197413077795,0.16206865613357987,0.11151098895384523
26.5,0.211428040569703,0.16668324985330019,0.1161116616379609
26.6,0.21447959705652175,0.17104770444195358,0.12064845765415802
26.700000000000003,0.21718591961875106,0.17511629248149216,0.12511388176953486
26.8,0.2195631720307878,0.17890135853023606,0.12947650570895286
26.900000000000002,0.22162751806702938,0.18241524714650473,0.13370490119727385
27,0.2233951215018735,0.1856703028886177,0.13776763995935917
27.1,0.22486306870274317,0.1886574360112819,0.1416607859846754
27.200000000000003,0.2260420634371855,0.19136433773242928,0.14539159349598285
27.3,0.22696869557978583,0.19379852405521886,0.148945419568083
27.400000000000002,0.22767955500512826,0.19596751098280926,0.15230762127577796
27.5,0.22821123158779763,0.19787881451835918,0.15546355569386924
27.6,0.22858231837957355,0.19953605035207667,0.15840605755465084
27.700000000000003,0.22879859735405972,0.20094801505485554,0.1611367360186142
27.8,0.22887744176857802,0.20212999595088085,0.16365410980285716
27.900000000000002,0.22883622488044905,0.20309728036433836,0.16595669762447823
28,0.22869231994699377,0.20386515561941404,0.168043018200576
28.1,0.2284781877048099,0.20444685693127804,0.16991059730915126
28.200000000000003,0.22822490381156676,0.20486003120379406,0.17156773588824614
28.3,0.22794776390619406,0.20512658329419006,0.17302911539501947
28.400000000000002,0.22766206362762115,0.20526841805969323,0.17430941728663024
28.5,0.2273830986147773,0.20530744035753187,0.17542332302023772
28.6,0.22710294590783506,0.2052539760916341,0.17636455312742855
28.700000000000003,0.22681522384683164,0.20511462469148645,0.17713044301974326
28.8,0.2265375400204942,0.20490570130264804,0.17774109647427136
28.900000000000002,0.22628750201755024,0.20464352107068012,0.17821661726810195
29,0.22608271742672648,0.20434439914114227,0.17857710917832464
29.1,0.22591872242709676,0.20403188987340287,0.17882290782769683
29.200000000000003,0.22577859345625206,0.2037209763576335,0.17895466856410316
29.3,0.22566124849069708,0.20341511683559835,0.1789929747523236
29.400000000000002,0.2255656055069363,0.20311776954906288,0.1789584097571387
29.5,0.22549058248147408,0.20283239273979142,0.17887155694332846
29.6,0.22544191690821427,0.20256217208374225,0.1787420902284886
29.700000000000003,0.22542141249567582,0.20230947324643336,0.17857097604264036
29.8,0.22542208654228563,0.20207652445397173,0.1783657365192014
29.900000000000002,0.2254369563464703,0.20186555393246286,0.17813389379159003
30,0.2254590392066576,0.2016787899080139,0.1778829699932238
30.1,0.22548051509770037,0.20151369568809885,0.17762850991317117
30.200000000000003,0.2255002625691261,0.20136893169263384,0.17737936034839216
30.3,0.2255213467813711,0.20124852181638433,0.17713299644414246
30.400000000000002,0.22554683289487185,0.20115648995411786,0.17688689334567845
30.5,0.22557978607006438,0.20109686000060073,0.1766385261982559
30.6,0.22561483334894716,0.20106277913431725,0.176405542124529
30.700000000000003,0.2256447277826619,0.2010438484800184,0.17620429219491623
30.8,0.22566972354535977,0.20103877285187208,0.17603030747631984
30.900000000000002,0.2256900748111918,0.20104625706404577,0.1758791190356419
31,0.22570603575430895,0.2010650059307069,0.1757462579397845
31.1,0.22571963602616554,0.20109556656992608,0.17563201542001963
31.200000000000003,0.22573128803376202,0.20113626418269043,0.17553834470802174
31.3,0.2257388200845689,0.20118247070754317,0.17546326987129585
31.400000000000002,0.2257400604860574,0.20122955808302795,0.17540481497734686
31.5,0.22573283754569765,0.20127289824768752,0.17536100409368002
31.6,0.22572497411380496,0.20131421838749528,0.175330461000381
31.700000000000003,0.22572387317381543,0.2013563604749628,0.17531143245598257
31.8,0.225726733232882,0.20139636862843963,0.17530137699565987
31.900000000000002,0.225730752798158,0.20143128696627555,0.17529775315458862
32,0.22573313037679663,0.20145815960682023,0.17529801946794443
32.1,0.2257273264508092,0.20147718421910965,0.17530279888534409
32.2,0.22571225546688423,0.20149149001584482,0.175314401635419
32.300000000000004,0.22569329687918824,0.20150251843087344,0.17533281717186672
32.4,0.22567583014188838,0.2015117108980432,0.1753580349483842
32.5,0.225665234709152,0.20152050885120215,0.17539004441866865
32.6,0.22566131275339202,0.2015265069467156,0.1754183291676785
32.7,0.2256597284575657,0.20152695586619504,0.17543563769576637
32.800000000000004,0.22565965429165571,0.20152278108135646,0.1754468568297206
32.9,0.22566026272564557,0.20151490806391664,0.17545687339632934
33,0.22566072622951747,0.20150426228559082,0.17547057422238138
33.1,0.2256629829654166,0.20149194133805245,0.17548971753291184
33.2,0.22566914842943597,0.20147884558137724,0.17551065375840574
33.300000000000004,0.2256786610924804,0.2014656046398878,0.17553015803382513
33.4,0.22569095942545517,0.20145284813790598,0.17554500549413155
33.5,0.2257054818992648,0.201441205699754,0.17555197127428698
33.6,0.225713966157001,0.20143260406554056,0.17555166659588584
33.7,0.22571194586538906,0.2014274716251206,0.17554893865683985
33.800000000000004,0.22570455353078397,0.2014241904774358,0.17554691655658647
33.9,0.2256969216595401,0.201421142721427,0.1755487293945633
34,0.22569418275801248,0.20141671045603654,0.17555750627020814
34.1,0.22569742500648088,0.20141505686745906,0.17556962993381192
34.2,0.22570235323121077,0.20141957832879373,0.17557851701387486
34.300000000000004,0.22570602490753494,0.20142750671933923,0.17558284742714791
34.4,0.22570549751078633,0.20143607391839424,0.17558130109038222
34.5,0.22569782851629738,0.20144251180525713,0.1755725579203287
34.6,0.22569050127989432,0.20144574906295493,0.17556159810664532
34.7,0.22569220635291493,0.20144774271743193,0.17555381694462593
34.800000000000004,0.225701812003959,0.2014502671623612,0.17554851700947516
34.9,0.22571818650162592,0.2014550967914161,0.17554500087639774
35,0.22574019811451576,0.20146400599827155,0.17554257112059815
35.1,0.22574985429802683,0.20147290283114824,0.17554109904047
35.2,0.22573866741322968,0.20147756946795292,0.175541270175416
35.300000000000004,0.22571976308722996,0.20147959149688627,0.17554360846215503
35.4,0.22570626694713505,0.20148055450614918,0.1755486378374067
