% Model,COMSOL_Three_Pipes_Phases_1_to_4.mph
% Version,COMSOL 6.3.0.420
% Date,"Mar 4 2026, 09:32"
% Table,c_CNN_Outlet_Phase_2 - Surface Average 2
% Time (s),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3),c_CNN_Outlet_Phase_2 (mol/m^3)
5.2,7.777685336370087E-30,-1.5741717427976011E-31,-1.1895336799236282E-31,1.4270248526916697E-25,4.990887138696945E-23,2.2645797251853933E-24,2.21854092945329E-22,9.42599082703191E-24,6.789781566328371E-24,6.61563475259073E-25,7.05127401629398E-24,3.0300511780968535E-24,1.6403838499016572E-24,4.9035795479287626E-24
5.300000000000001,2.9639820897122954E-30,-2.875408099281025E-31,-2.2322169595559727E-31,1.084028195631739E-26,5.543926143172388E-23,-1.1206376783837835E-24,2.1117977079278792E-22,4.179867333907045E-24,-5.0322071686375606E-24,1.9858292625208192E-25,5.949985875737765E-24,2.1206972674408066E-24,6.453528133316277E-26,4.9880603769770965E-24
5.4,-2.0572138359836523E-29,-5.12058119902687E-31,-4.109233980083057E-31,-5.47697357964536E-25,-4.310486538617505E-24,-1.344671192351007E-23,-1.4483077554377531E-22,-2.3676400032952805E-23,-4.638155758832071E-23,-2.0107279419534354E-24,-7.379102369715313E-24,-4.7888423101821075E-24,-6.546717268648107E-24,-2.0466513240008757E-24
5.5,-7.252121595702321E-29,-8.673795699673111E-31,-7.159939894043612E-31,-1.750121066133618E-24,-1.6841813244349744E-22,-3.912704149023027E-23,-1.0436471490744991E-21,-8.605526576417451E-23,-1.3167311516099896E-22,-6.87384581205321E-24,-3.9763136380524803E-23,-2.0971588712747E-23,-2.0754667322373445E-23,-2.0340245812897996E-23
5.6000000000000005,-1.404107725210593E-28,-7.582875402625255E-31,-6.072736123405833E-31,2.1190903416493287E-23,1.8921396033240265E-21,3.9526868029802025E-22,-4.388175873523832E-21,1.0083701478610346E-21,1.7489799283505573E-21,7.527764417084237E-23,1.2130986503418068E-22,3.0099130056778434E-22,2.216438874870711E-22,1.6670323840348697E-22
5.7,-2.28564639209901E-28,-6.0488789580812835E-31,-3.7109136708158017E-31,5.216867494912745E-23,5.055845499464779E-21,9.826885306987071E-22,-1.2757739650795295E-20,2.644869764615002E-21,4.664371270424879E-21,1.9352219166230049E-22,2.2123018523080834E-22,8.081134129120595E-22,5.695371421274817E-22,4.172989445016419E-22
5.800000000000001,-3.7186781997641747E-28,-1.9665763296867885E-30,-1.2676162059829E-30,2.962492980038055E-23,4.107811044700277E-21,5.47995767103165E-22,-2.736443235116796E-20,2.1024456990844712E-21,4.188446399455763E-21,1.3606737218064716E-22,-4.475118682027944E-22,7.465138444710378E-22,3.973912919778612E-22,1.8973595474861387E-22
5.9,-6.052053187734732E-28,-6.402748534981131E-30,-4.557017081400063E-30,-1.0799859576113518E-22,-6.16685227224795E-21,-2.0839463530972592E-21,-4.942034784492051E-20,-3.339899934143813E-21,-4.104849196163016E-21,-3.08879238755791E-22,-2.5924259876787618E-21,-6.376883086043231E-22,-9.203274675827805E-22,-1.0576966485885453E-21
6,-9.634621395539357E-28,-1.5472800204773802E-29,-1.1499462945688595E-29,-4.2226016546680723E-22,-3.098303296265835E-20,-8.088274572511208E-21,-8.013758000233192E-20,-1.640316502048309E-20,-2.4641570028037606E-20,-1.3531100656286875E-21,-6.92102186560924E-21,-4.0983739501630525E-21,-4.00915294117543E-21,-3.8667097832427846E-21
6.1000000000000005,-9.820719662680805E-28,1.771714897890753E-29,2.133034834209899E-29,2.8721242020717493E-21,4.536170234551475E-20,4.6785760428430846E-20,-1.1780167793483933E-17,-8.523814306504353E-20,5.690046056256836E-20,1.2197495723917887E-21,2.3622631663184672E-20,9.469342947806215E-21,4.0693547268531655E-21,3.2572148705958295E-21
6.2,-1.219381442682354E-27,6.922650873109161E-29,7.66133274052175E-29,7.720919534523242E-21,1.1556765530716972E-19,1.293982719626507E-19,-3.131998327027355E-17,-2.255242709499338E-19,1.5252645474043537E-19,1.644697948497827E-21,5.748094056016076E-20,2.1684327597491245E-20,7.131275191709822E-21,5.5012864841868275E-21
