% Model,COMSOL_Single_Pipe.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 16 2026, 18:20"
% Table,c_Pipe_1_Sensor - c_Pipe_1_Sensor
% Time (s),c_Pipe_1 (mol/m^3),c_Pipe_1_Biff (mol/m^3),c_Pipe_1_Biff_Phase_2 (mol/m^3)
2.61,0.8514785888815692,0.7068549854113166,0.6195451248694323
2.62,0.8531541216666333,0.7093141571702587,0.6224704373250736
2.63,0.8548083225475129,0.7117435851449369,0.6253632984901805
2.64,0.8564404720534208,0.7141553437804268,0.6282237083647478
2.65,0.8580501459366741,0.7165394795627483,0.6310516669487798
2.66,0.8596379086259898,0.7188959924918978,0.6338471742422734
2.67,0.8612055248830115,0.7212248825678806,0.6366109828170622
2.68,0.8627518041294429,0.7235261497906921,0.6393474304399267
2.69,0.8642767463652824,0.7257997941603332,0.642052971509892
2.7,0.8657820921832022,0.7280458156768145,0.6447276060269558
2.71,0.8672678605840679,0.730271973280827,0.6473713339911298
2.72,0.8687334676160623,0.7324778600357364,0.6499841554024052
2.73,0.8701791858385484,0.7346592354826664,0.6525660702607862
2.74,0.8716071854338582,0.7368160996216038,0.6551240683897335
2.75,0.8730161488679997,0.7389484524525493,0.6576540904172654
2.7600000000000002,0.8744060761409784,0.7410562939755032,0.660155399957489
2.77,0.8757780192176036,0.7431396241904801,0.662627997010406
2.7800000000000002,0.8771324332203806,0.7451998725991819,0.6650718815760133
2.79,0.878468709272879,0.7472463474767672,0.6674870536543193
2.8000000000000003,0.8797868523584483,0.7492710918410174,0.6698790169399841
2.81,0.8810890508811242,0.7512741056919184,0.6722475690887183
2.82,0.8823740735605571,0.7532553890294778,0.6745899449295586
2.83,0.8836419203967384,0.7552149418536942,0.676906144462494
2.84,0.8848933882424087,0.7571527641645722,0.6791961676875351
2.85,0.886129352089256,0.7590688559620983,0.6814600146046812
2.86,0.8873490474172416,0.7609695818545378,0.6837008803138176
2.87,0.8885524742263782,0.7628539222237999,0.6859228270783029
2.88,0.8897411103672481,0.7647189244669983,0.6881212110989654
2.89,0.8909144032535293,0.7665645885841265,0.6902960323758068
2.9,0.892072188882441,0.768390914575188,0.6924472909088356
2.91,0.8932149540363655,0.77019790244018,0.694574986698034
2.92,0.8943438224744586,0.7719855521791084,0.6966799752500736
2.93,0.8954579926041533,0.7737552080743461,0.6987698671187137
2.94,0.8965574644254497,0.7755131372695591,0.700838689798083
2.95,0.897643455136747,0.7772537574638905,0.7028864432881871
2.96,0.898715821511494,0.7789770686573425,0.7049131275890225
2.97,0.8997742461010744,0.7806830708499137,0.7069187427005947
2.98,0.900818942883481,0.7823717640416065,0.7089032886229022
2.99,0.9018510272531237,0.7840431482324242,0.7108735424288412
3,0.902869796082461,0.7856972234223502,0.7128260337597363
3.0100000000000002,0.9038752493714856,0.7873388292574081,0.7147597081465137
3.02,0.9048682461694056,0.7889667261153898,0.7166745655892022
3.0300000000000002,0.9058489953382173,0.7905790249577301,0.7185706060877637
3.04,0.9068170933552855,0.7921757257844191,0.7204478296422197
3.0500000000000003,0.9077726034440127,0.7937568285954736,0.7223101541628212
3.06,0.9087169054770889,0.7953223333908783,0.7241579831114725
3.0700000000000003,0.9096492011176853,0.796872240170641,0.7259889493278683
3.08,0.910569490365815,0.7984077485912222,0.7278030528120004
3.09,0.9114783356660227,0.7999330332587068,0.7296002935638805
3.1,0.9123761815388524,0.8014441966336255,0.731380671583509
3.11,0.9132625871535625,0.8029412387159842,0.7331459606781804
3.12,0.9141375525101688,0.8044241595057708,0.73489917708776
3.13,0.9150022487373013,0.8058929590029994,0.7366371903503712
3.14,0.9158561407884456,0.8073476372076546,0.7383600004660285
3.15,0.9166991559176918,0.808788194119749,0.7400676074347272
3.16,0.9175316873290315,0.8102183283721316,0.7417600112564551
3.17,0.9183544120145033,0.8116367746249147,0.7434374916407575
3.18,0.9191668132682466,0.8130423331868045,0.7451046312408479
3.19,0.919968891090236,0.8144350040578137,0.7467579596748877
3.2,0.9207614501989027,0.8158147872379315,0.7483974769428671
3.21,0.9215443055652403,0.8171816827271602,0.7500231830447838
3.22,0.9223172999925754,0.8185356905254966,0.7516350779806474
3.23,0.9230806516786346,0.8198778354922981,0.7532331617504577
3.24,0.9238351612000052,0.8212108425838095,0.7548205939757461
3.25,0.9245803014738024,0.8225320254322263,0.7563959973824661
3.2600000000000002,0.9253160725000545,0.823841384037552,0.7579587044320429
3.27,0.9260431133563961,0.8251389183997793,0.7595087151244714
3.2800000000000002,0.9267614766919999,0.8264246285189034,0.7610460294597333
3.29,0.9274709216483267,0.8276985143949406,0.7625706474378643
3.3000000000000003,0.9281715276027152,0.8289605760278773,0.7640842954657844
3.31,0.9288641148814691,0.8302136721387094,0.7655874317637015
3.3200000000000003,0.9295481938590306,0.8314566032164109,0.767078809159491
3.33,0.9302237645354092,0.8326886120383415,0.7685584276531767
3.34,0.93089132434473,0.8339096986045086,0.7700262872447388
3.35,0.931551142176166,0.8351198629148939,0.7714823879341838
3.36,0.9322028993002118,0.8363191049695077,0.7729274497435942
3.37,0.9328465957168843,0.8375074247683542,0.7743631031293204
3.38,0.9334830927052336,0.8386857300690467,0.7757877827223155
3.39,0.9341119327018192,0.8398558867204108,0.7772014885225709
3.4,0.9347331001039851,0.8410159341525427,0.7786042205300956
3.41,0.9353469057050373,0.8421658723654711,0.7799959787448925
3.42,0.9359537473453928,0.8433057013592004,0.7813768043842574
3.43,0.936553294622853,0.8444354211337057,0.7827490912274773
3.44,0.9371455475374162,0.8455550316890035,0.7841110827166174
3.45,0.9377312176060006,0.8466645330250934,0.7854627788516744
3.46,0.9383100708685727,0.8477663079493317,0.7868041796326537
3.47,0.9388820095250339,0.8488591893577987,0.788135285059539
3.48,0.9394472161250862,0.8499426745504299,0.7894560951323537
3.49,0.9400061799450092,0.8510167635272256,0.7907681711834987
3.5,0.9405585619833914,0.8520814562881875,0.7920709653089331
3.5100000000000002,0.9411043622402291,0.8531367528333154,0.7933640507435542
3.52,0.9416441102496704,0.8541826531625989,0.7946474274873437
3.5300000000000002,0.9421777764979075,0.8552199890292131,0.7959210955402994
3.54,0.942705203812901,0.8562500855779183,0.797185054902428
3.5500000000000003,0.9432264883080368,0.8572714404508722,0.7984402540337728
3.56,0.9437422413221466,0.8582840536480584,0.7996871260037123
3.5700000000000003,0.9442520848892699,0.8592879251694997,0.8009248537492758
3.58,0.9447560190093987,0.860283055015174,0.802153437270457
3.59,0.9452544043949831,0.8612694431850866,0.803372876567257
3.6,0.9457473614070248,0.8622470896792453,0.8045831716396689
3.61,0.9462347017932776,0.8632180878214658,0.8057846975296052
3.62,0.9467164411612626,0.8641812785169029,0.8069785940783127
3.63,0.947193250426258,0.8651363229151386,0.8081638351691135
3.64,0.9476647469333699,0.8660832210161818,0.8093404208020027
3.65,0.9481309306826058,0.8670219728200501,0.8105083509769865
3.66,0.94859206038355,0.8679525783267057,0.8116676256940529
3.67,0.9490483780628521,0.8688750375361947,0.81281824495321
3.68,0.9494996594940419,0.869790118893232,0.8139617962589208
3.69,0.9499459046770848,0.8706987658331786,0.8150971769190296
3.7,0.950387631771504,0.8715998051915419,0.8162243520697892
3.71,0.9508246249048158,0.8724932369683464,0.8173433217111895
3.72,0.9512568395940587,0.873379061163568,0.8184540858432406
3.73,0.951684449113804,0.8742572777772367,0.8195566444659327
3.74,0.9521077986933815,0.8751278868093175,0.8206520523803467
3.75,0.952526634033711,0.8759908882598235,0.8217400400767207
3.7600000000000002,0.952940955134771,0.8768481647547385,0.8228202457967473
3.77,0.9533511553389763,0.8776985638694074,0.8238926695404211
3.7800000000000002,0.9537571655259501,0.8785418654014387,0.8249573113077526
3.79,0.9541588964139969,0.8793780693508535,0.826014171098731
3.8000000000000003,0.9545564360715899,0.8802071757176207,0.8270638499971487
3.81,0.9549501671258792,0.8810291845017553,0.8281067597100835
3.8200000000000003,0.955339843271795,0.8818440957032713,0.8291422826577235
3.83,0.9557254645093686,0.8826526341758658,0.8301704188400842
3.84,0.9561073402971716,0.8834554751104241,0.8311911682571592
3.85,0.9564855199829349,0.8842516761918345,0.8322045309089601
3.86,0.956859873145742,0.8850412374201077,0.8332107430254401
3.87,0.9572304277537497,0.8858241587952388,0.8342107897615758
3.88,0.9575975817030429,0.8866004403172358,0.8352038310547104
3.89,0.9579611012733078,0.887370081986076,0.8361898669048591
3.9,0.9583209864645537,0.88813308380178,0.8371688973120046
3.91,0.9586774343358123,0.888891141413557,0.8381409222761622
3.92,0.9590305747657953,0.889643125922825,0.8391059417973306
3.93,0.959380268103004,0.8903889089168999,0.8400651556661621
