% Model,COMSOL_Three_Pipes_Phase_2.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 23 2026, 16:42"
% Table,Table 34 - c_CNN_Sensor_Phase_3
% Time (s),c_CNN_Sensor_Phase_2 (mol/m^3)
4.04,-2.668784766573074E-43
4.05,-2.48784505994119E-43
4.0600000000000005,-2.2611272215088176E-43
4.07,-2.0005550259662816E-43
4.08,-1.718052248003777E-43
4.09,-1.4255426623115732E-43
4.1,-1.1349500435799041E-43
4.11,-8.581981664989759E-44
4.12,-6.072108057591042E-44
4.13,-3.9391173605048756E-44
4.14,-2.3022473206338464E-44
4.15,-1.280735684880206E-44
4.16,-9.938202001466825E-45
4.17,-1.5607386133356267E-44
4.18,-3.100728671349238E-44
4.19,-5.733028121090569E-44
4.2,-9.576874709461128E-44
4.21,-1.4751506183364055E-43
4.22,-2.1376160289701645E-43
4.23,-2.957007477537665E-43
4.24,-3.9452487387290766E-43
4.25,-5.114263587234633E-43
4.26,-6.475975797744703E-43
4.2700000000000005,-8.042309144949551E-43
4.28,-9.825187403539137E-43
4.29,-1.1836534348203952E-42
4.3,-1.4088273753634091E-42
4.3100000000000005,-1.6592329394520254E-42
4.32,-1.9360625045551832E-42
4.33,-2.2405084481419944E-42
4.34,-2.573763147681427E-42
4.3500000000000005,-2.937018980642541E-42
4.36,-3.3314683244943255E-42
4.37,-3.7583035567058344E-42
4.38,-4.218717054746079E-42
4.39,-4.7139011960840334E-42
4.4,-5.245048358188852E-42
4.41,-5.813350918529431E-42
4.42,-6.42000125457483E-42
4.43,-7.066191743794079E-42
4.44,-7.753114763656314E-42
4.45,-8.48196269163043E-42
4.46,-9.253927905185349E-42
4.47,-1.0070202781790314E-41
4.48,-1.09319796989143E-41
4.49,-1.1840451034026261E-41
4.5,-1.27968091645952E-41
4.51,-1.2564481564296215E-41
4.5200000000000005,-1.0051862197445384E-41
4.53,-5.477593177475176E-42
4.54,9.396833821830038E-43
4.55,8.981325368097535E-42
4.5600000000000005,1.842869066683764E-41
4.57,2.906313716496999E-41
4.58,4.0666022749063526E-41
4.59,5.301870530568642E-41
4.6000000000000005,6.590254272140907E-41
