% Model,COMSOL_Single_Pipe.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 15 2026, 13:46"
% Table,Table_c_Pipe_1 - c_Pipe_1
% Time (s),c_Pipe_1 (mol/m^3),c_Pipe_1_Biff (mol/m^3),c_Pipe_1_Biff_2 (mol/m^3)
1.72,0.32249853525731836,3.7560970552535387E-7,3.4795968083438114E-7
1.73,0.34389247162490233,4.993981120522415E-7,4.627532915054537E-7
1.74,0.365514284534766,6.48271777607928E-7,6.008275203383738E-7
1.75,0.3870178362611999,8.473621661959044E-7,7.855468310370116E-7
1.76,0.4085073063674374,1.1122926536060267E-6,1.031436115447036E-6
1.77,0.42979852205801294,1.4285397434570133E-6,1.3249930283009133E-6
1.78,0.45080908991299684,1.8528356475966713E-6,1.7190284423626496E-6
1.79,0.4715287872991558,2.4026535000403062E-6,2.2298077459754006E-6
1.8,0.4917678332114241,3.0543004677686454E-6,2.835275758330137E-6
1.81,0.5116122536360379,3.929883361588696E-6,3.6492573636753055E-6
1.82,0.5308498479557852,5.037257979487455E-6,4.67907553843327E-6
1.83,0.5495666728387554,6.3407771263799855E-6,5.891500867901371E-6
1.84,0.5676597071017893,8.092028527777013E-6,7.5214090146375E-6
1.85,0.5851212094820822,1.0258164668602226E-5,9.538134405226795E-6
1.86,0.6019456861647402,1.2791283413191914E-5,1.1896956869680388E-5
1.87,0.6180974764807359,1.618906694860127E-5,1.5063252942687315E-5
1.8800000000000001,0.6335957318483987,2.030712472759251E-5,1.8902004787035124E-5
1.8900000000000001,0.6484332021118114,2.50924907479595E-5,2.3363684540959493E-5
1.9000000000000001,0.6626130366663978,3.1492483836670045E-5,2.933567309489346E-5
1.9100000000000001,0.6761870968877077,3.9106138008469095E-5,3.644237403620386E-5
1.92,0.6891462017044423,4.802506496552948E-5,4.477032343735758E-5
1.93,0.7015361597897696,6.289002860895471E-5,5.8693338311011945E-5
1.94,0.7133918114936872,8.138753170980777E-5,7.60309988482096E-5
1.95,0.7247267482855078,1.0351757426808865E-4,9.678330504895058E-5
1.96,0.7356667006499537,1.2928015628379733E-4,1.2095025691323488E-4
1.97,0.7461524864593793,1.5867527775693385E-4,1.4853185444106234E-4
1.98,0.7563247434277601,1.938462072465144E-4,1.815575133614615E-4
1.99,0.7661311142257109,2.4364202486092088E-4,2.284062407213256E-4
2,0.7756689211500623,3.007039766462838E-4,2.8211018783122716E-4
2.0100000000000002,0.7849645819389922,3.6503206260260436E-4,3.4266935469116775E-4
2.02,0.7940305153937416,4.366262827298786E-4,4.1008374130114254E-4
2.0300000000000002,0.8029438125752647,5.154866370281122E-4,4.8435334766115825E-4
2.04,0.8116647959834309,6.279414195817628E-4,5.905072804776995E-4
2.05,0.8202004846867462,7.581035306447392E-4,7.134423996260806E-4
2.06,0.8285479568410994,9.045707444531227E-4,8.518256731157318E-4
2.07,0.8366814782359415,0.0010673430610069,0.0010056571009466417
2.08,0.8446018815391816,0.0012464204803060857,0.0011749366831188225
2.09,0.8523134157302393,0.0014740994070264006,0.0013905243938172466
2.1,0.8598160808091136,0.0017463027872130909,0.001648524512107719
2.11,0.8668941575090685,0.002050683508724532,0.0019371390819708219
2.12,0.8730926952637909,0.002387241571560747,0.002256368103406578
2.13,0.8792912330185138,0.0027559769757217107,0.002606211576414958
2.14,0.885489770773236,0.003188538814018682,0.0030170683596891373
2.15,0.8916883085279589,0.0037137712643360104,0.0035166431995501527
2.16,0.8972280361745538,0.004297082126471772,0.004071710391485869
2.17,0.9023671485396019,0.004938471400425914,0.004682269935496236
2.18,0.9075062609046508,0.005637939086198503,0.005348321831581309
2.19,0.9126453732696989,0.006413747479032396,0.006087504306552005
2.2,0.9177537347687985,0.0073565478567359874,0.0069873708566923305
2.21,0.9218936056809638,0.008395938331143086,0.00797992540292909
2.22,0.92603347659313,0.00953191890225377,0.009065167945262364
2.23,0.9301733475052946,0.010764489570067953,0.010243098483692056
2.24,0.9343132184174602,0.012093650334585733,0.011513717018218274
2.25,0.9378227674027647,0.013667402146914047,0.013020857578239913
2.2600000000000002,0.9405290861361384,0.015400746322306369,0.014681914591095043
2.27,0.943235404869513,0.01728281799008836,0.016486329083234507
2.2800000000000002,0.9459417236028871,0.019313617150260216,0.01843410105465847
2.29,0.9486480423362617,0.021493143802821708,0.02052523050536676
2.3000000000000003,0.9513543610696363,0.023947159977598918,0.022882815289175167
2.31,0.9540606798030107,0.026666700164668992,0.025498079823887777
2.32,0.9567669985363858,0.02959893615550813,0.028319315027683867
2.33,0.9594733172697599,0.03274386795011646,0.031346520900563585
2.34,0.9619259355805093,0.03610149554849374,0.03457969744252663
2.35,0.9636471194928145,0.03975322129391695,0.03809924156475964
2.36,0.9653683034051178,0.04378475086616603,0.04198980036276461
2.37,0.9670894873174226,0.048099243432246475,0.04615572912244521
2.38,0.9688106712297262,0.05269669899215782,0.050597027843801025
2.39,0.9705318551420311,0.057577117545900544,0.055313696526832504
2.4,0.9722530390543346,0.06276846553713937,0.06033371699276173
2.41,0.9739742229666387,0.06843537857583305,0.06582181537766339
2.42,0.9756954068789436,0.07445247153868735,0.07165253761429966
2.43,0.9773669143105573,0.08081974442570282,0.07782588370267107
2.44,0.9784289522285725,0.08753719723687892,0.08434185364277703
2.45,0.9794909901465888,0.09460482997221623,0.09120044743461812
2.46,0.9805530280646043,0.1021667585438434,0.09854923064206321
2.47,0.9816150659826206,0.11014460282396318,0.10630794697985087
2.48,0.9826771039006362,0.11852474808434517,0.11446265582880467
2.49,0.9837391418186514,0.1273071943249901,0.12301335718892528
2.5,0.9848011797366667,0.13649194154589722,0.1319600510602122
2.5100000000000002,0.9858632176546837,0.14612557689282343,0.14135418285103005
2.52,0.9869252555726976,0.15620750353156831,0.15119509348732152
2.5300000000000002,0.9876060497364113,0.16671628079587766,0.1614591063987979
2.54,0.9882412591228968,0.17765190868575045,0.1721462215854585
2.5500000000000003,0.9888764685093829,0.18901438720118768,0.18325643904730407
2.56,0.989511677895868,0.20078948663409138,0.19477950445433115
2.57,0.9901468872823537,0.21295999640176538,0.2067030153740166
2.58,0.9907820966688397,0.2255443669536472,0.21904026772191537
2.59,0.9914173060553246,0.23854259828973576,0.23179126149802617
2.6,0.9920525154418106,0.25195469041003216,0.24495599670235013
2.61,0.9926877248282958,0.26576084807265604,0.25851619677084176
2.62,0.9930503579266053,0.27982054896527325,0.2723421201698169
2.63,0.9933022172122711,0.29423887179155533,0.28653078403445853
2.64,0.9935540764979354,0.3090158165515043,0.3010821883647677
2.65,0.9938059357836013,0.32415138324511794,0.31599633316074316
2.66,0.9940577950692658,0.3396455718723983,0.33127321842238605
2.67,0.9943096543549327,0.3552420319851949,0.3466679243550715
2.68,0.9945615136405965,0.371072014806282,0.3623058496961845
2.69,0.9948133729262623,0.3871653859932982,0.3782155283951991
2.7,0.9950652322119289,0.4035221455462454,0.3943969604521172
2.71,0.9953170914975936,0.4201422934651217,0.41085014586693697
2.72,0.9955689507832587,0.43679516505916954,0.4273511733363866
2.73,0.9958208100689241,0.453469330839276,0.4438889480032738
2.74,0.9960726693545894,0.47028082287362655,0.4605761047555987
2.75,0.9963245286402551,0.4872296411622205,0.4774126435933595
2.7600000000000002,0.9965763879259207,0.5043157857050588,0.49439856451655767
2.77,0.9968282472115867,0.52139206212861,0.5113892943962144
2.7800000000000002,0.9970801064972505,0.5382547830675538,0.5281847731415006
2.79,0.9973319657829174,0.5551123192024954,0.544989660757823
2.8000000000000003,0.997528189818546,0.5719646705334368,0.5618039572451842
2.81,0.9976195828823958,0.5888118370603758,0.5786276626035816
2.82,0.9977109759462436,0.6056110224032694,0.5954182576486841
2.83,0.9978023690100923,0.6219873143329302,0.6118032584889804
2.84,0.9978937620739415,0.6382162812353832,0.6280564486311494
2.85,0.9979851551377898,0.654297923110629,0.6441778280751929
2.86,0.9980765482016392,0.6702322399586668,0.6601673968211099
2.87,0.9981679412654886,0.6860192317794978,0.676025154868901
2.88,0.9982593343293377,0.7013306835642646,0.6914216783479988
2.89,0.9983507273931864,0.7163236788717173,0.7065146293778357
2.9,0.9984421204570341,0.7310440296658204,0.7213499886542363
2.91,0.9985335135208832,0.7454917359465753,0.7359277561772027
2.92,0.9986249065847328,0.7596667977139802,0.7502479319467332
2.93,0.9987162996485819,0.773357194367691,0.7640895078140777
2.94,0.9988076927124315,0.7865382896617039,0.7774268032033269
2.95,0.9988990857762801,0.7993264316297445,0.7903810981386978
2.96,0.998990478840128,0.8117216202718105,0.802952392620189
2.97,0.9990818719039772,0.8237238555879038,0.8151406866478017
2.98,0.999173264967827,0.8353331375780227,0.8269459802215341
2.99,0.9991933844455331,0.8465494662421675,0.8383682733413886
3,0.9992122257500213,0.8573728415803393,0.8494075660073638
3.0100000000000002,0.9992310670545086,0.8678032635925378,0.8600638582194595
3.02,0.9992499083589956,0.8778407322787617,0.8703371499776762
3.0300000000000002,0.9992687496634817,0.887483543516472,0.880223185444268
3.04,0.9992875909679689,0.8967145339365115,0.8896791012026964
3.0500000000000003,0.9993064322724552,0.9055490524536242,0.8987432292913894
3.06,0.9993252735769417,0.9139870990678088,0.907415569710346
3.0700000000000003,0.9993441148814289,0.9220286737790662,0.9156961224595672
3.08,0.9993629561859153,0.9296737765873964,0.9235848875390527
3.09,0.9993817974904027,0.9369224074927983,0.9310818649488025
3.1,0.9994006387948878,0.9437745664952726,0.9381870546888172
3.11,0.9994194800993773,0.9502302535948197,0.9449004567590948
3.12,0.9994383214038628,0.9562894687914396,0.9512220711596376
3.13,0.9994571627083491,0.9619522120851313,0.9571518978904451
