% Model,COMSOL_3D_CNN_Design_3_Phase_1.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 11 2026, 14:52"
% Table,Table 9 - Concentration_CNN
% Time (s),Concentration_CNN (mol/m^3),Concentration_CNN (mol/m^3),Concentration_CNN (mol/m^3),Concentration_CNN (mol/m^3),Concentration_CNN (mol/m^3),Concentration_CNN (mol/m^3),Concentration_CNN (mol/m^3),Concentration_CNN (mol/m^3)
8.6,1.5725491619469214E-4,4.436923877144749E-4,3.188013436881833E-4,3.1752059454360614E-4,1.9443697685720104E-4,4.695910049464614E-4,2.9693931199561513E-4,7.051647657429682E-5
8.700000000000001,1.589478586415864E-4,4.7328137591218136E-4,3.293994263220287E-4,3.275146839521257E-4,1.9654317212740912E-4,4.7798468052176186E-4,3.0760260174056143E-4,7.346978458200025E-5
8.8,1.6030166835317782E-4,5.24544551172965E-4,3.4002132277825885E-4,3.380988304993638E-4,1.9845203201258703E-4,4.869835257092457E-4,3.184705573720825E-4,7.646049342691618E-5
8.9,1.6133526635855465E-4,6.017961778937513E-4,3.5110150377981586E-4,3.503308305767366E-4,2.0019822651321024E-4,4.966693098436472E-4,3.294516983145354E-4,7.948203378517435E-5
9,1.6207240045346862E-4,7.01570963882825E-4,3.639748601155407E-4,3.662738973142026E-4,2.0177047977632892E-4,5.071947009135615E-4,3.405024283202754E-4,8.252794103430978E-5
9.1,1.625421098404533E-4,8.082030980443651E-4,3.805249807547489E-4,3.880629994021907E-4,2.031684867502407E-4,5.188703100756044E-4,3.5160869333307183E-4,8.559106291434547E-5
9.200000000000001,1.6277689754153938E-4,9.072417243478452E-4,4.0356127026401883E-4,4.1866681430526194E-4,2.0439903443603832E-4,5.322817063137252E-4,3.62733435662353E-4,8.866300641279067E-5
9.3,1.628100178786503E-4,9.900184974731146E-4,4.3580014566204977E-4,4.5805910570704693E-4,2.0547182086301229E-4,5.483676763430568E-4,3.7387960455656565E-4,9.173567441774562E-5
9.4,1.626751191866012E-4,0.00105404199753636,4.7992971466320186E-4,5.060780529536028E-4,2.0639828240113313E-4,5.684885936032779E-4,3.851641849081003E-4,9.480150686200186E-5
9.5,1.6241258833846328E-4,0.0011002194119808639,5.379637345532295E-4,5.631354297669795E-4,2.0719073074427957E-4,5.940688554621857E-4,3.968245168550131E-4,9.785107671572888E-5
9.600000000000001,1.6206023017277112E-4,0.0011324292514670578,6.077019126835821E-4,6.271097337366276E-4,2.0786174502487883E-4,6.261037596349316E-4,4.0934464180184666E-4,1.008752906801582E-4
9.700000000000001,1.616493642267062E-4,0.0011547198026452053,6.872375958658604E-4,6.959161835010274E-4,2.0842418734303973E-4,6.648492779772494E-4,4.2353953515381835E-4,1.0386506358607103E-4
9.8,1.612090004320921E-4,0.0011694765054769878,7.715313442465711E-4,7.664673507979647E-4,2.0889101394691565E-4,7.09880924225453E-4,4.4057562712614937E-4,1.068117134216139E-4
9.9,1.6076452176421948E-4,0.0011777768198885565,8.544406809048357E-4,8.355314552160335E-4,2.092751101338978E-4,7.602413720455034E-4,4.6193935897047696E-4,1.097062632566856E-4
10,1.6033674843613595E-4,0.0011799983302560636,9.304073843916365E-4,9.001566390908579E-4,2.095892077857036E-4,8.142826225735698E-4,4.892479925147792E-4,1.1253948559868278E-4
10.100000000000001,1.5994184641821113E-4,0.0011771883140374321,9.953565274147841E-4,9.580131349162109E-4,2.0984628856210712E-4,8.698764421028197E-4,5.239307637866766E-4,1.1530262169843221E-4
10.200000000000001,1.5959105496621913E-4,0.001170092917213275,0.0010472490970904768,0.0010074358784997685,2.1005974049666227E-4,9.246697298527545E-4,5.668797751726106E-4,1.1798755565355559E-4
10.3,1.5929071757707895E-4,0.0011590410022047585,0.0010859941845732784,0.0010473799818040302,2.1024342486176552E-4,9.764915012924804E-4,6.180787237041221E-4,1.2058689847308033E-4
10.4,1.5904335219659197E-4,0.0011439070292836053,0.0011126795732102574,0.0010775204953915123,2.1041459893231742E-4,0.001023340349573748,6.76628456015387E-4,1.2309256550412293E-4
10.5,1.5884739977266757E-4,0.0011241890330947533,0.001128956072997768,0.00109836544789966,2.1059565780735183E-4,0.0010638680025854325,7.410533785484534E-4,1.2549665056926093E-4
10.600000000000001,1.5869829894081875E-4,0.0010995400891081338,0.0011364119460176068,0.0011106514833991946,2.108160467686106E-4,0.0010972530845456705,8.091235768034168E-4,1.277921189756379E-4
