% Model,COMSOL_Three_Pipes_Phase_2.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 21 2026, 16:01"
% Table,Table 1 - c_Sensor
% Time (s),c_CNN (mol/m^3)
7.23,-1.1840341047487564E-31
7.24,-1.2784771785080367E-31
7.25,-1.37724412190147E-31
7.26,-1.480334934929029E-31
7.2700000000000005,-1.5877496175907157E-31
7.28,-1.699488169886541E-31
7.29,-1.8155505918165077E-31
7.3,-1.9359368833806076E-31
7.3100000000000005,-2.0606470445788026E-31
7.32,-2.18968107541121E-31
7.33,-2.323038975877694E-31
7.34,-2.460720745978304E-31
7.3500000000000005,-2.602726385713079E-31
7.36,-2.749055895081975E-31
7.37,-2.899709274085026E-31
7.38,-3.0546865227221796E-31
7.390000000000001,-3.2139876409935017E-31
7.4,-3.37761262889893E-31
7.41,-3.5455614864385205E-31
7.42,-3.7178342136121992E-31
7.43,-3.8944308104200423E-31
7.44,-4.099115353532305E-31
7.45,-4.415644770044559E-31
7.46,-4.747657609518429E-31
7.47,-5.095153871953998E-31
7.48,-5.45813355735113E-31
7.49,-5.8365966657099686E-31
7.5,-6.2305431970304494E-31
7.51,-6.639973151312515E-31
7.5200000000000005,-7.064886528556241E-31
7.53,-7.505283328761569E-31
7.54,-7.961163551928615E-31
7.55,-8.432527198057076E-31
7.5600000000000005,-8.91937426714753E-31
7.57,-9.421704759199367E-31
7.58,-9.939518674212782E-31
7.59,-1.0472816012188109E-30
7.6000000000000005,-1.1021596773124854E-30
7.61,-1.1585860957023372E-30
7.62,-1.2165608563883399E-30
7.63,-1.2760839593705345E-30
7.640000000000001,-1.3371554046488538E-30
7.65,-1.3997751922233426E-30
7.66,-1.4660975500228125E-30
7.67,-1.583971027063966E-30
7.68,-1.7078825787255906E-30
7.69,-1.8378322050076853E-30
7.7,-1.9738199059101777E-30
7.71,-2.1158456814331666E-30
7.72,-2.263909531576596E-30
7.73,-2.4180114563404762E-30
7.74,-2.5781514557247986E-30
7.75,-2.744329529729576E-30
7.76,-2.9165456783547713E-30
7.7700000000000005,-3.0947999016004872E-30
7.78,-3.27909219946662E-30
7.79,-3.4694225719531974E-30
7.8,-3.665791019060246E-30
7.8100000000000005,-3.868197540787709E-30
7.82,-4.076642137135705E-30
7.83,-4.291124808104056E-30
7.84,-4.5116455536929474E-30
7.8500000000000005,-4.738204373902206E-30
7.86,-4.970801268731843E-30
7.87,-5.209436238182163E-30
7.88,-5.454109282252718E-30
7.890000000000001,-5.892380848533616E-30
7.9,-6.375726217120685E-30
7.91,-6.883281640150665E-30
7.92,-7.415047117623635E-30
7.930000000000001,-7.971022649539568E-30
7.94,-8.551208235898422E-30
7.95,-9.155603876700166E-30
7.96,-9.784209571944805E-30
7.97,-1.0437025321632542E-29
7.98,-1.1114051125763124E-29
7.99,-1.1815286984336776E-29
8,-1.25407328973531E-29
8.01,-1.3290388864812563E-29
