% Model,COMSOL_Single_Pipe.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 17 2026, 11:12"
% Table,Table_c_Sensor - c_Pipe_1_Sensor
% Time (s),c_Pipe_1 (mol/m^3),c_Pipe_1_Phase_2 (mol/m^3)
2.7800000000000002,0.21979035294837346,0.7288307085224295
2.79,0.22463883468325502,0.7320073854855598
2.8000000000000003,0.22949031402276993,0.7351413131490674
2.81,0.23434815702522485,0.7382344556245761
2.82,0.23921537059077685,0.7412854844192921
2.83,0.2440919547194302,0.7442947163555579
2.84,0.24897471802560925,0.7472654953891755
2.85,0.2538559765619608,0.750195953085985
2.86,0.25874196322001763,0.7530860894459932
2.87,0.2636326779997823,0.7559394429239539
2.88,0.26852812090124517,0.7587547995425752
2.89,0.2734211816658515,0.7615317937301408
2.9,0.278314224169503,0.7642730952252452
2.91,0.2832086513236951,0.7669791902626648
2.92,0.28810446312841853,0.7696490285160342
2.93,0.2929999094825345,0.7722842896233056
2.94,0.2978915287430111,0.7748870804082972
2.95,0.30278225931538305,0.7774557660320058
2.96,0.30767210119964034,0.7799911136058266
2.97,0.3125610543957875,0.7824967409519176
2.98,0.31744608367857385,0.7849704894111625
2.99,0.32232837937524433,0.7874123589835793
3,0.3272084226758427,0.7898268787229912
3.0100000000000002,0.3320862135803728,0.7922118205573666
3.02,0.3369611490836055,0.7945670953426415
3.0300000000000002,0.3418322481775183,0.7968957037434885
3.04,0.34670038818876014,0.7991974163944541
3.0500000000000003,0.35156556911734194,0.8014714789723376
3.06,0.356427790963264,0.8037195931034881
3.0700000000000003,0.3612861519251269,0.8059429364597597
3.08,0.3661410555505459,0.8081403679455534
3.09,0.37099261236640135,0.8103126211031331
3.1,0.375840822372685,0.8124616182496041
3.11,0.3806853172377492,0.8145861103929689
3.12,0.38552560539009595,0.8166862255368503
3.13,0.3903621539632272,0.8187641366797842
3.14,0.395194962957129,0.820818655547315
3.15,0.4000240323718141,0.8228497821394245
3.16,0.40484784535447127,0.8248592635162277
3.17,0.40966715864884257,0.8268466148083758
3.18,0.4144821073904587,0.8288115916071928
3.19,0.4192926915793183,0.8307552547816086
3.2,0.4240979044511156,0.8326779243211582
3.21,0.42889665118375603,0.8345791136351798
3.22,0.43369004954469215,0.8364594774310781
3.23,0.438478099533922,0.8383200244150184
3.24,0.44326080115144406,0.8401600168789921
3.25,0.44803484671199123,0.8419797202702058
3.2600000000000002,0.4528020447850063,0.8437807678770712
3.27,0.4575625867464327,0.8455622110368471
3.2800000000000002,0.4623164725962663,0.8473240497495845
3.29,0.4670616025637772,0.8490679816736887
3.3000000000000003,0.471796137764119,0.8507932622799594
3.31,0.4765221250183351,0.8524998070776412
3.3200000000000003,0.4812395643264117,0.8541886605857753
3.33,0.4859484556883539,0.8558598377570004
3.34,0.4906429770960662,0.8575130237886364
3.35,0.49532657229394966,0.8591487542888046
3.36,0.49999940804805126,0.8607675012036263
3.37,0.5046614843583557,0.8623688506970186
3.38,0.5093098364743879,0.8639530247630004
3.39,0.5139424118103298,0.865520742825079
3.4,0.518561752021482,0.8670715537576852
3.41,0.5231678571078543,0.8686054855926406
3.42,0.5277607270694333,0.870123583870731
3.43,0.5323328999462795,0.8716252881952007
3.44,0.536889101972147,0.8731105985660147
3.45,0.5414293424958051,0.8745804127492561
3.46,0.5459536215172434,0.876034545623261
3.47,0.5504582018593477,0.8774728359809639
3.48,0.5549410958770401,0.8788960337602623
3.49,0.5594051228732219,0.8803044658447056
3.5,0.5638502828479037,0.881697733463766
3.5100000000000002,0.5682763685201461,0.8830762726738502
3.52,0.5726755364995858,0.8844409055716789
3.5300000000000002,0.5770528591949715,0.8857910605085425
3.54,0.5814083366062905,0.8871268778887884
3.5500000000000003,0.5857419687335651,0.8884495371260205
3.56,0.5900497218995415,0.8897583698148611
3.5700000000000003,0.5943300218995711,0.8910533759552824
3.58,0.5985855450904051,0.8923355693461414
3.59,0.6028162914720373,0.8936045637610772
3.6,0.6070218607012615,0.8948602759625159
3.61,0.6111952370303203,0.8961033090621453
3.62,0.6153410500455266,0.8973337322189978
3.63,0.6194592997468807,0.8985513304335507
3.64,0.6235499861343896,0.8997564545556882
3.65,0.6276094204459512,0.9009494906778559
3.66,0.6316366274012912,0.9021301263020814
3.67,0.6356337561109209,0.9032985282326836
3.68,0.6396008065748565,0.9044553739696283
3.69,0.6435373061383703,0.9056002519336633
3.7,0.6474380704039533,0.9067331621248228
3.71,0.6513065961485224,0.9078551663141814
3.72,0.6551428833720728,0.9089657091775154
3.73,0.658946932074623,0.910064788460844
3.74,0.6627160653726811,0.9111532237220513
3.75,0.6664498770622065,0.9122309098350849
3.7600000000000002,0.6701497327060182,0.9132976642464107
3.77,0.673815632304124,0.9143540401199807
3.7800000000000002,0.6774472271858348,0.9154003626188285
3.79,0.6810418223139322,0.9164362920068005
3.8000000000000003,0.6846012793119151,0.9174620878681619
3.81,0.6881255981797696,0.918478349331725
3.8200000000000003,0.6916147789175,0.9194846775880304
3.83,0.6950676906177731,0.9204811304019819
3.84,0.698484276359748,0.9214684248825972
3.85,0.701865039172568,0.922446163712348
3.86,0.7052099790562208,0.9234143468911991
3.87,0.7085190691193585,0.9243734589004159
3.88,0.7117921534501794,0.9253233453621238
3.89,0.7150293425979385,0.926263949607669
3.9,0.7182306365626498,0.9271955817710229
3.91,0.721396035344299,0.9281183120220537
3.92,0.7245261724843698,0.9290320108672877
3.93,0.7276210217175849,0.9299368772793933
3.94,0.7306803387528482,0.9308331814571423
3.95,0.7337041235901627,0.9317207186757621
3.96,0.7366927874046788,0.9325995910583424
3.97,0.7396481865800292,0.9334703296514109
3.98,0.7425689663829959,0.9343326209334295
3.99,0.7454551268135863,0.9351864649043766
4,0.7483066678717986,0.9360325644189231
4.01,0.7511258393112658,0.9368705877328957
4.0200000000000005,0.7539123600451874,0.9377005130989409
4.03,0.756665483877613,0.938522862038
4.04,0.7593852108085589,0.9393376122459891
4.05,0.762072376573978,0.9401446229349417
4.0600000000000005,0.7647299902924165,0.940944087179903
4.07,0.7673557847050277,0.9417361519575141
4.08,0.7699497598118136,0.9425206805787252
4.09,0.7725119156127711,0.9432977767128228
4.1,0.7750456559248161,0.9440677346796187
4.11,0.7775502958844192,0.9448303659242182
4.12,0.7800248743916273,0.9455856766024036
4.13,0.7824693914464369,0.9463337998948914
4.14,0.784884974264232,0.9470746635417394
4.15,0.7872749097499387,0.94780826754291
4.16,0.7896366313410618,0.9485346017895812
4.17,0.7919701390376027,0.9492536688187906
4.18,0.7942754328395675,0.9499654701942218
4.19,0.7965564540160833,0.9506701443863402
4.2,0.7988121338801691,0.9513677400115718
4.21,0.801041538104457,0.9520581898256781
4.22,0.8032446666889413,0.9527415950341018
4.23,0.8054227646426207,0.9534181241155946
4.24,0.807578800121152,0.9540876563205101
4.25,0.8097103603640322,0.9547502286159755
4.26,0.8118174453712718,0.9554060955214658
4.2700000000000005,0.8139000551428732,0.9560551106250774
4.28,0.8159620461464583,0.956697273926808
4.29,0.8180021243594522,0.9573330778452565
4.3,0.8200195365927436,0.9579623170144413
4.3100000000000005,0.8220142828463497,0.9585849609743471
4.32,0.8239876044587006,0.9592011350198211
4.33,0.8259419329817271,0.9598108456019303
4.34,0.8278751993855953,0.9604140523987916
4.3500000000000005,0.8297874036703258,0.9610108312243196
4.36,0.8316785458359097,0.9616012549414946
4.37,0.8335518593899713,0.962185261708021
4.38,0.8354060670126376,0.9627628802623018
4.39,0.8372406620784223,0.9633342119414438
4.4,0.8390556445873114,0.9638991939920838
4.41,0.8408521681817273,0.9644578247630373
4.42,0.8426320914352945,0.9650099970396459
4.43,0.8443937475361396,0.9655557678690033
4.44,0.8461371364842418,0.9660951372511103
4.45,0.8478622582796198,0.9666281398853573
4.46,0.8495718002937835,0.9671547696223011
4.47,0.8512645528336696,0.9676750196732888
4.48,0.8529401911620698,0.968189047399997
4.49,0.8545987152789826,0.9686969301814414
4.5,0.8562410888521299,0.9691985795700043
4.51,0.8578685851811811,0.9696940826683492
4.5200000000000005,0.8594799902828631,0.9701836168536372
4.53,0.8610753041571707,0.9706670609153003
4.54,0.8626545268040975,0.9711444527453033
4.55,0.8642198009073204,0.9716161574541354
4.5600000000000005,0.8657700522197407,0.9720819699500542
4.57,0.8673050932934622,0.9725418902331019
4.58,0.8688249241285104,0.9729962147629563
4.59,0.8703303758746846,0.9734448374901041
4.6000000000000005,0.8718223429747051,0.9738877302137641
4.61,0.8732999086537032,0.974324979867298
4.62,0.8747630729116677,0.9747566000059217
4.63,0.8762118357486013,0.9751825576747554
4.64,0.8776478606060798,0.9756028803630952
4.65,0.8790702341252117,0.976017600891022
4.66,0.8804788625596816,0.9764266933937683
4.67,0.8818737459094979,0.976830159308308
4.68,0.8832555863414767,0.9772280050300947
4.69,0.8846249919319955,0.9776202267174352
4.7,0.8859812826062,0.9780068243703302
4.71,0.8873244583640958,0.978387937597252
4.72,0.8886545192056762,0.9787634960445026
4.73,0.889972854211852,0.979133497909293
4.74,0.8912786387472877,0.9794981963866701
4.75,0.8925718349760362,0.9798575670385992
4.76,0.8938524428980898,0.9802115490228289
4.7700000000000005,0.8951211145047,0.9805603660509314
4.78,0.8963782956483964,0.980904163844786
4.79,0.8976234309336133,0.9812427973102201
4.8,0.8988565203603465,0.9815763994786554
4.8100000000000005,0.900077564010694,0.9819053024303375
4.82,0.9012877880360859,0.982229288454261
4.83,0.9024864134384095,0.98254838450871
4.84,0.9036734402176485,0.9828629931519646
4.8500000000000005,0.9048488683738265,0.9831728931649846
4.86,0.9060133049008491,0.9834780845477513
4.87,0.9071670680986991,0.9837788674132179
4.88,0.9083097029640823,0.9840751536995523
4.89,0.9094412094969592,0.9843669040805086
4.9,0.9105616159638109,0.9846541185560768
4.91,0.9116719362409766,0.9849367971262769
4.92,0.9127715140086075,0.985214939791086
4.93,0.9138603492667109,0.9854783194331899
4.94,0.9149384420152896,0.9857249688826739
4.95,0.9160063400869363,0.9859716183321469
4.96,0.9170642536559086,0.9862182677816288
4.97,0.9181118215625793,0.9864649172311074
4.98,0.9191490438069372,0.9867115666805888
4.99,0.9201759675240566,0.9869582161300757
5,0.9211933960319751,0.9871619791538359
5.01,0.9222007986778027,0.9873633447475108
5.0200000000000005,0.9231981754615269,0.9875647103411815
5.03,0.924185526383141,0.9877660759348501
5.04,0.9251633538189876,0.9879674415285215
5.05,0.9261317876267168,0.9881688071221904
5.0600000000000005,0.9270905370245286,0.9883701727158652
5.07,0.9280396020124456,0.9885715383095488
5.08,0.9289790539087309,0.9887729039032087
5.09,0.9299096598340932,0.9889742694968852
5.1000000000000005,0.930830901790692,0.9891756350905611
5.11,0.9317427797785321,0.9893770006842388
5.12,0.932645293797606,0.9895767761088713
5.13,0.9335388939390351,0.9897403173480965
5.14,0.9344236461153899,0.9899038585873335
5.15,0.93529932225751,0.9900673998265571
5.16,0.9361659223654,0.9902309410657791
5.17,0.937023533725311,0.9903944823050075
5.18,0.9378728206227449,0.9905580235442314
5.19,0.938713323624423,0.9907215647834634
5.2,0.9395450427303517,0.9908851060226915
5.21,0.9403679779405303,0.9910486472619255
5.22,0.9411825450295069,0.9912121885011506
5.23,0.9419887629334713,0.9913757297403797
5.24,0.9427864479985112,0.9915392709796004
5.25,0.9435756002246243,0.9916985804174836
5.26,0.9443563177818767,0.991831238011415
5.2700000000000005,0.9451291623802784,0.9919638956053293
5.28,0.945893735194138,0.9920965531992361
5.29,0.946650036223448,0.9922292107931605
5.3,0.9473980654682123,0.9923618683870735
5.3100000000000005,0.9481382565174603,0.9924945259809945
5.32,0.9488705895115913,0.992627183574901
5.33,0.9495948984763815,0.9927598411688281
5.34,0.950311183411799,0.9928924987627356
5.3500000000000005,0.9510195602777397,0.9930251563566481
5.36,0.9517205464970688,0.9931578139505739
5.37,0.9524137638984991,0.9932904715444968
5.38,0.9530992124820465,0.9934209854771907
5.39,0.9537768922476806,0.9935435369328214
5.4,0.9544471794105928,0.9936646817329559
5.41,0.955110025475747,0.9937844198776102
5.42,0.9557653066236484,0.9939027513667674
5.43,0.9564130228542839,0.9940196762004504
5.44,0.9570533084218168,0.9941351943786445
5.45,0.9576866415182669,0.9942493059013325
5.46,0.9583126612365748,0.9943620107685532
5.47,0.9589313675767166,0.9944733089802766
5.48,0.959542760538729,0.99458320053652
5.49,0.9601473015418265,0.994691685437267
5.5,0.9607448960729599,0.9947987636825358
5.51,0.9613354149289793,0.9949044352723022
5.5200000000000005,0.9619188581099092,0.9950087002065964
5.53,0.9624953598439682,0.9951115584854046
5.54,0.9630653075565535,0.9952130101087145
5.55,0.9636283981566427,0.995313055076543
5.5600000000000005,0.9641846316442341,0.9954116933888811
5.57,0.964734008019333,0.9955089250457339
5.58,0.9652769875556341,0.9956047500470849
5.59,0.9658134439144216,0.995699168392971
5.6000000000000005,0.9663432689762211,0.9957921800833575
5.61,0.9668664627410286,0.9958837851182513
5.62,0.9673831690577656,0.995973983497664
5.63,0.9678937275009939,0.9960627752215914
