% Model,COMSOL_Single_Pipe.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 16 2026, 17:05"
% Table,c_Pipe_1_Sensor - c_Pipe_1_Sensor
% Time (s),c_Pipe_1 (mol/m^3),c_Pipe_1_Biff (mol/m^3)
2.06,0.7090289648600058,0.5166226130060676
2.07,0.7128737935395779,0.521143584689575
2.08,0.7166521931643238,0.5256297305247662
2.09,0.7203665602871256,0.53008105051166
2.1,0.7240233213028023,0.534497544650244
2.11,0.7276180239909386,0.5388714519805415
2.12,0.7311506683515406,0.5431984651402351
2.13,0.7346278635883537,0.5474864370076695
2.14,0.7380492426733729,0.5517353675828434
2.15,0.741412843138685,0.5559452568657561
2.16,0.7447198330091948,0.5601161048564123
2.17,0.7479776465554023,0.5642479115548044
2.18,0.7511816877421745,0.5683406769609378
2.19,0.7543319565695307,0.5723855367370319
2.2,0.7574332302753461,0.5763890844164461
2.21,0.7604871043336161,0.580351458866783
2.22,0.763491084730823,0.5842726600880555
2.23,0.7664453517365292,0.5881526880802517
2.24,0.7693576774527547,0.5919915428433838
2.25,0.7722236292750562,0.5957892243774465
2.2600000000000002,0.7750432072034336,0.5995452803072225
2.27,0.7778193926922966,0.6032595438718122
2.2800000000000002,0.7805549763798044,0.6069324082489326
2.29,0.7832473733821252,0.6105638734385841
2.3000000000000003,0.7858965836992617,0.6141539394407637
2.31,0.788508780959491,0.6177026062554732
2.32,0.791081393950443,0.621209873882704
2.33,0.7936138922028866,0.6246758477665567
2.34,0.7961080603752222,0.6281061157708652
2.35,0.798567455833211,0.6314963454361909
2.36,0.8009894584673687,0.6348465367625236
2.37,0.8033740682777296,0.6381566897498678
2.38,0.8057255829856637,0.641426804398222
2.39,0.8080432481312831,0.6446568807075882
2.4,0.8103260877652465,0.6478469186779652
2.41,0.8125750064662154,0.6510023203961118
2.42,0.8147939364851083,0.6541242122903892
2.43,0.8169803467233957,0.6572085616902702
2.44,0.8191342371810734,0.6602553685957501
2.45,0.821258289849342,0.6632646330068344
2.46,0.8233529330899304,0.666236354923513
2.47,0.8254170361892219,0.6691705343457841
2.48,0.8274508709447093,0.6720678713223541
2.49,0.8294583085726345,0.6749405499416992
2.5,0.831437075269715,0.6777788457361765
2.5100000000000002,0.833387171035938,0.6805827587057677
2.52,0.8353105214594392,0.683352288850501
2.5300000000000002,0.8372083964237429,0.6860874361703547
2.54,0.8390794308725226,0.6887882006653347
2.5500000000000003,0.8409236248057742,0.6914545823354463
2.56,0.8427442719040692,0.6940945181459597
2.57,0.8445397418387927,0.6967085593951144
2.58,0.8463099042069668,0.6992916267462223
2.59,0.8480558412812405,0.7018437201992935
2.6,0.8497791620864379,0.7043648397543205
2.61,0.8514785888815692,0.7068549854113166
2.62,0.8531541216666333,0.7093141571702587
2.63,0.8548083225475129,0.7117435851449369
2.64,0.8564404720534208,0.7141553437804268
2.65,0.8580501459366741,0.7165394795627483
2.66,0.8596379086259898,0.7188959924918978
2.67,0.8612055248830115,0.7212248825678806
2.68,0.8627518041294429,0.7235261497906921
2.69,0.8642767463652824,0.7257997941603332
2.7,0.8657820921832022,0.7280458156768145
2.71,0.8672678605840679,0.730271973280827
2.72,0.8687334676160623,0.7324778600357364
2.73,0.8701791858385484,0.7346592354826664
2.74,0.8716071854338582,0.7368160996216038
2.75,0.8730161488679997,0.7389484524525493
2.7600000000000002,0.8744060761409784,0.7410562939755032
2.77,0.8757780192176036,0.7431396241904801
2.7800000000000002,0.8771324332203806,0.7451998725991819
2.79,0.878468709272879,0.7472463474767672
2.8000000000000003,0.8797868523584483,0.7492710918410174
2.81,0.8810890508811242,0.7512741056919184
2.82,0.8823740735605571,0.7532553890294778
2.83,0.8836419203967384,0.7552149418536942
2.84,0.8848933882424087,0.7571527641645722
2.85,0.886129352089256,0.7590688559620983
2.86,0.8873490474172416,0.7609695818545378
2.87,0.8885524742263782,0.7628539222237999
2.88,0.8897411103672481,0.7647189244669983
2.89,0.8909144032535293,0.7665645885841265
2.9,0.892072188882441,0.768390914575188
2.91,0.8932149540363655,0.77019790244018
2.92,0.8943438224744586,0.7719855521791084
2.93,0.8954579926041533,0.7737552080743461
2.94,0.8965574644254497,0.7755131372695591
2.95,0.897643455136747,0.7772537574638905
2.96,0.898715821511494,0.7789770686573425
2.97,0.8997742461010744,0.7806830708499137
2.98,0.900818942883481,0.7823717640416065
