% Model,COMSOL_Three_Pipes_Phase_2.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 23 2026, 19:48"
% Table,Table 34 - c_CNN_Sensor_Phase_3
% Time (s),c_CNN_Sensor_Phase_2 (mol/m^3)
84.39,0.9971505115621027
84.4,0.9971505115621027
84.41,0.9971505115621027
84.42,0.9971505115621027
84.43,0.9971505115621027
84.44,0.9971505115621027
84.45,0.9971505115621027
84.46000000000001,0.9971505115621027
84.47,0.9971505115621027
84.48,0.9971505115621027
84.49,0.9971505115621027
84.5,0.9971505115621027
84.51,0.9971505115621027
84.52,0.9971505115621027
84.53,0.9971505115621027
84.54,0.9971505115621027
84.55,0.9971505115621027
84.56,0.9971505115621027
84.57000000000001,0.9971505115621027
84.58,0.9971505115621027
84.59,0.9971505115621027
84.60000000000001,0.9971505115621027
84.61,0.9971505115621027
84.62,0.9971505115621027
84.63,0.9971505115621027
84.64,0.9971505115621027
84.65,0.9971505115621027
84.66,0.9971505115621027
84.67,0.9971505115621027
84.68,0.9971505115621027
84.69,0.9971505115621027
84.7,0.9971505115621027
84.71000000000001,0.9971505115621027
84.72,0.9971505115621027
84.73,0.9971505115621027
84.74,0.9971505115621027
84.75,0.9971505115621027
84.76,0.9971505115621027
84.77,0.9971505115621027
84.78,0.9971505115621027
84.79,0.9971505115621027
84.8,0.9971505115621027
84.81,0.9971505115621027
84.82000000000001,0.9971505115621027
84.83,0.9971505115621027
84.84,0.9971505115621027
84.85000000000001,0.9971505115621027
84.86,0.9971505115621027
84.87,0.9971505115621027
84.88,0.9971505115621027
84.89,0.9971505115621027
84.9,0.9971505115621027
84.91,0.9971505115621027
84.92,0.9971505115621027
84.93,0.9971505115621027
84.94,0.9971505115621027
84.95,0.9971505115621027
84.96000000000001,0.9971505115621027
84.97,0.9971505115621027
84.98,0.9971505115621027
84.99,0.9971505115621027
85,0.9971505115621027
85.01,0.9971505115621027
85.02,0.9971505115621027
85.03,0.9971505115621027
85.04,0.9971505115621027
85.05,0.9971505115621027
85.06,0.9971505115621027
85.07000000000001,0.9971505115621027
85.08,0.9971505115621027
85.09,0.9971505115621027
85.10000000000001,0.9971505115621027
85.11,0.9971505115621027
85.12,0.9971505115621027
85.13,0.9971505115621027
85.14,0.9971505115621027
85.15,0.9971505115621027
85.16,0.9971505115621027
85.17,0.9971505115621027
85.18,0.9971505115621027
85.19,0.9971505115621027
85.2,0.9971505115621027
85.21000000000001,0.9971505115621027
85.22,0.9971505115621027
85.23,0.9971505115621027
85.24,0.9971505115621027
85.25,0.9971505115621027
85.26,0.9971505115621027
85.27,0.9971505115621027
85.28,0.9971505115621027
85.29,0.9971505115621027
85.3,0.9971505115621027
85.31,0.9971505115621027
85.32000000000001,0.9971505115621027
85.33,0.9971505115621027
85.34,0.9971505115621027
85.35000000000001,0.9971505115621027
85.36,0.9971505115621027
85.37,0.9971505115621027
85.38,0.9971505115621027
85.39,0.9971505115621027
85.4,0.9971505115621027
85.41,0.9971505115621027
85.42,0.9971505115621027
85.43,0.9971505115621027
85.44,0.9971505115621027
85.45,0.9971505115621027
85.46000000000001,0.9971505115621027
85.47,0.9971505115621027
85.48,0.9971505115621027
85.49,0.9971505115621027
85.5,0.9971505115621027
85.51,0.9971505115621027
85.52,0.9971505115621027
85.53,0.9971505115621027
85.54,0.9971505115621027
85.55,0.9971505115621027
85.56,0.9971505115621027
85.57000000000001,0.9971505115621027
85.58,0.9971505115621027
85.59,0.9971505115621027
85.60000000000001,0.9971505115621027
85.61,0.9971505115621027
85.62,0.9971505115621027
85.63,0.9971505115621027
85.64,0.9971505115621027
85.65,0.9971505115621027
85.66,0.9971505115621027
85.67,0.9971505115621027
85.68,0.9971505115621027
85.69,0.9971505115621027
85.7,0.9971505115621027
85.71000000000001,0.9971505115621027
85.72,0.9971505115621027
85.73,0.9971505115621027
85.74,0.9971505115621027
85.75,0.9971505115621027
85.76,0.9971505115621027
85.77,0.9971505115621027
85.78,0.9971505115621027
85.79,0.9971505115621027
85.8,0.9971505115621027
85.81,0.9971505115621027
85.82000000000001,0.9971505115621027
85.83,0.9971505115621027
85.84,0.9971505115621027
85.85000000000001,0.9971505115621027
85.86,0.9971505115621027
85.87,0.9971505115621027
85.88,0.9971505115621027
85.89,0.9971505115621027
85.9,0.9971505115621027
85.91,0.9971505115621027
85.92,0.9971505115621027
85.93,0.9971505115621027
85.94,0.9971505115621027
85.95,0.9971505115621027
85.96000000000001,0.9971505115621027
85.97,0.9971505115621027
85.98,0.9971505115621027
85.99,0.9971505115621027
86,0.9971505115621027
86.01,0.9971505115621027
86.02,0.9971505115621027
86.03,0.9971505115621027
86.04,0.9971505115621027
86.05,0.9971505115621027
86.06,0.9971505115621027
86.07000000000001,0.9971505115621027
86.08,0.9971505115621027
86.09,0.9971505115621027
86.10000000000001,0.9971505115621027
86.11,0.9971505115621027
86.12,0.9971505115621027
86.13,0.9971505115621027
86.14,0.9971505115621027
86.15,0.9971505115621027
86.16,0.9971505115621027
86.17,0.9971505115621027
86.18,0.9971505115621027
86.19,0.9971505115621027
86.2,0.9971505115621027
86.21000000000001,0.9971505115621027
86.22,0.9971505115621027
86.23,0.9971505115621027
86.24,0.9971505115621027
86.25,0.9971505115621027
86.26,0.9971505115621027
86.27,0.9971505115621027
86.28,0.9971505115621027
86.29,0.9971505115621027
86.3,0.9971505115621027
86.31,0.9971505115621027
86.32000000000001,0.9971505115621027
86.33,0.9971505115621027
86.34,0.9971505115621027
86.35000000000001,0.9971505115621027
86.36,0.9971505115621027
86.37,0.9971505115621027
86.38,0.9971505115621027
86.39,0.9971505115621027
86.4,0.9971505115621027
86.41,0.9971505115621027
86.42,0.9971505115621027
86.43,0.9971505115621027
86.44,0.9971505115621027
86.45,0.9971505115621027
86.46000000000001,0.9971505115621027
86.47,0.9971505115621027
86.48,0.9971505115621027
86.49,0.9971505115621027
86.5,0.9971505115621027
86.51,0.9971505115621027
86.52,0.9971505115621027
86.53,0.9971505115621027
86.54,0.9971505115621027
86.55,0.9971505115621027
86.56,0.9971505115621027
86.57000000000001,0.9971505115621027
86.58,0.9971505115621027
86.59,0.9971505115621027
86.60000000000001,0.9971505115621027
86.61,0.9971505115621027
86.62,0.9971505115621027
86.63,0.9971505115621027
86.64,0.9971505115621027
86.65,0.9971505115621027
86.66,0.9971505115621027
86.67,0.9971505115621027
86.68,0.9971505115621027
86.69,0.9971505115621027
86.7,0.9971505115621027
86.71000000000001,0.9971505115621027
86.72,0.9971505115621027
86.73,0.9971505115621027
86.74,0.9971505115621027
86.75,0.9971505115621027
86.76,0.9971505115621027
86.77,0.9971505115621027
86.78,0.9971505115621027
86.79,0.9971505115621027
86.8,0.9971505115621027
86.81,0.9971505115621027
86.82000000000001,0.9971505115621027
86.83,0.9971505115621027
86.84,0.9971505115621027
86.85000000000001,0.9971505115621027
86.86,0.9971505115621027
86.87,0.9971505115621027
86.88,0.9971505115621027
86.89,0.9971505115621027
86.9,0.9971505115621027
86.91,0.9971505115621027
86.92,0.9971505115621027
86.93,0.9971505115621027
86.94,0.9971505115621027
86.95,0.9971505115621027
86.96000000000001,0.9971505115621027
86.97,0.9971505115621027
86.98,0.9971505115621027
86.99,0.9971505115621027
87,0.9971505115621027
87.01,0.9971505115621027
87.02,0.9971505115621027
87.03,0.9971505115621027
87.04,0.9971505115621027
87.05,0.9971505115621027
87.06,0.9971505115621027
87.07000000000001,0.9971505115621027
87.08,0.9971505115621027
87.09,0.9971505115621027
87.10000000000001,0.9971505115621027
87.11,0.9971505115621027
87.12,0.9971505115621027
87.13,0.9971505115621027
87.14,0.9971505115621027
87.15,0.9971505115621027
87.16,0.9971505115621027
87.17,0.9971505115621027
87.18,0.9971505115621027
87.19,0.9971505115621027
87.2,0.9971505115621027
87.21000000000001,0.9971505115621027
87.22,0.9971505115621027
87.23,0.9971505115621027
87.24,0.9971505115621027
87.25,0.9971505115621027
87.26,0.9971505115621027
87.27,0.9971505115621027
87.28,0.9971505115621027
87.29,0.9971505115621027
87.3,0.9971505115621027
87.31,0.9971505115621027
87.32000000000001,0.9971505115621027
87.33,0.9971505115621027
87.34,0.9971505115621027
87.35000000000001,0.9971505115621027
87.36,0.9971505115621027
87.37,0.9971505115621027
87.38,0.9971505115621027
87.39,0.9971505115621027
87.4,0.9971505115621027
87.41,0.9971505115621027
87.42,0.9971505115621027
87.43,0.9971505115621027
87.44,0.9971505115621027
87.45,0.9971505115621027
87.46000000000001,0.9971505115621027
87.47,0.9971505115621027
87.48,0.9971505115621027
87.49,0.9971505115621027
87.5,0.9971505115621027
87.51,0.9971505115621027
87.52,0.9971505115621027
87.53,0.9971505115621027
87.54,0.9971505115621027
87.55,0.9971505115621027
87.56,0.9971505115621027
87.57000000000001,0.9971505115621027
87.58,0.9971505115621027
87.59,0.9971505115621027
87.60000000000001,0.9971505115621027
87.61,0.9971505115621027
87.62,0.9971505115621027
87.63,0.9971505115621027
87.64,0.9971505115621027
87.65,0.9971505115621027
87.66,0.9971505115621027
87.67,0.9971505115621027
87.68,0.9971505115621027
87.69,0.9971505115621027
87.7,0.9971505115621027
87.71000000000001,0.9971505115621027
87.72,0.9971505115621027
87.73,0.9971505115621027
87.74,0.9971505115621027
87.75,0.9971505115621027
87.76,0.9971505115621027
87.77,0.9971505115621027
87.78,0.9971505115621027
87.79,0.9971505115621027
87.8,0.9971505115621027
87.81,0.9971505115621027
87.82000000000001,0.9971505115621027
87.83,0.9971505115621027
87.84,0.9971505115621027
87.85000000000001,0.9971505115621027
87.86,0.9971505115621027
87.87,0.9971505115621027
87.88,0.9971505115621027
87.89,0.9971505115621027
87.9,0.9971505115621027
87.91,0.9971505115621027
87.92,0.9971505115621027
87.93,0.9971505115621027
87.94,0.9971505115621027
87.95,0.9971505115621027
87.96000000000001,0.9971505115621027
87.97,0.9971505115621027
87.98,0.9971505115621027
87.99,0.9971505115621027
88,0.9971505115621027
88.01,0.9971505115621027
88.02,0.9971505115621027
88.03,0.9971505115621027
88.04,0.9971505115621027
