% Model,2D_turn.mph
% Version,COMSOL 6.3.0.290
% Date,"Jun 1 2025, 22:49"
% Table,Table 1 - Outlet Concentration
% Time (s),"Molar concentration, c (mol/m^3)"
0.0032300000000000002,-6.399781075099243E-39
0.0032400000000000003,-6.363434502125782E-39
0.0032500000000000003,-6.293689669474538E-39
0.0032600000000000003,-6.474707621442272E-39
0.0032700000000000003,-6.739747846910825E-39
0.0032800000000000004,-7.020055744322703E-39
0.0032900000000000004,-7.315631313677913E-39
0.0033000000000000004,-7.626474554976451E-39
0.0033100000000000004,-7.952585468218316E-39
0.0033200000000000005,-8.293964053403509E-39
0.00333,-8.650610310532016E-39
0.00334,-9.022524239603865E-39
0.00335,-9.409705840619045E-39
0.00336,-9.812155113577551E-39
0.00337,-1.0229872058479387E-38
0.00338,-1.0662856675324553E-38
0.0033900000000000002,-1.1111108964113046E-38
0.0034000000000000002,-1.0528967737652379E-38
0.0034100000000000003,-9.665752830737127E-39
0.0034200000000000003,-8.656816777308801E-39
0.0034300000000000003,-7.502159577367412E-39
0.0034400000000000003,-6.201781230912952E-39
0.0034500000000000004,-4.755681737945426E-39
0.0034600000000000004,-3.1638610984648346E-39
0.0034700000000000004,-1.426319312471171E-39
0.0034800000000000005,4.569436200355573E-40
0.0034900000000000005,2.4859276990553544E-39
0.0035,4.6606329245881204E-39
0.00351,6.981059296634047E-39
0.00352,9.447206815193039E-39
0.00353,1.20590754802651E-38
0.00354,1.4274114526370197E-38
0.00355,1.6539254498153144E-38
0.0035600000000000002,1.8874325102024957E-38
0.0035700000000000003,2.1279326337985647E-38
0.0035800000000000003,2.37542582060352E-38
0.0035900000000000003,2.629912070617363E-38
0.0036000000000000003,2.891391383840093E-38
0.0036100000000000004,3.1598637602717113E-38
0.0036200000000000004,3.4353291999122155E-38
0.0036300000000000004,3.7177877027616074E-38
0.0036400000000000004,4.007239268819886E-38
0.0036500000000000005,4.303683898087053E-38
0.0036600000000000005,4.607121590563106E-38
0.00367,4.896108244447599E-38
0.00368,4.717722064562104E-38
0.00369,4.480259651947994E-38
0.0037,4.183721006605269E-38
0.00371,3.82810612853393E-38
