% Model,COMSOL_3D_CNN_Design_3_1_Phase_1.mph
% Version,COMSOL 6.3.0.420
% Date,"Dec 6 2025, 16:19"
% Table,Table 4 - Concentration_Outlet_Pipe_1
% Time (s),Concentration_Outlet_Pipe_1_2_3 (mol/m^3),Concentration_Outlet_Pipe_1_2_3 (mol/m^3),Concentration_Outlet_Pipe_1_2_3 (mol/m^3),Concentration_Outlet_Pipe_1_2_3 (mol/m^3),Concentration_Outlet_Pipe_1_2_3 (mol/m^3),Concentration_Outlet_Pipe_1_2_3 (mol/m^3),Concentration_Outlet_Pipe_1_2_3 (mol/m^3)
4.05,2.5201359797423777E-4,2.569107542920592E-4,2.452107540581048E-4,2.5315095327969287E-4,1.1901665280861203E-4,3.481259495949006E-5,5.765962206178476E-6
4.1000000000000005,2.5572068199089E-4,2.605901531199622E-4,2.488857592794638E-4,2.5708148251260175E-4,1.223632294230818E-4,3.6737711111236286E-5,6.235574341882025E-6
4.15,2.591017233565848E-4,2.638092136743291E-4,2.5256076450082314E-4,2.608954074875998E-4,1.2570980603755156E-4,3.870679912708521E-5,6.727102266938004E-6
4.2,2.622366942177174E-4,2.6584147852593465E-4,2.558721339871775E-4,2.6459272820468716E-4,1.2905638265202135E-4,4.071985900703682E-5,7.240545981346425E-6
4.25,2.652763881835247E-4,2.678737434478631E-4,2.5897710624300953E-4,2.681734446638638E-4,1.3240295926649124E-4,4.277689075109115E-5,7.775905485107277E-6
4.3,2.682208052540065E-4,2.6990600836979177E-4,2.6197894820567143E-4,2.714564291904756E-4,1.3574953588096095E-4,4.4877894359248224E-5,8.333180778220567E-6
4.3500000000000005,2.710699454291627E-4,2.7193827329172036E-4,2.648776598751635E-4,2.745695799511468E-4,1.3909611249543087E-4,4.7022869831507994E-5,8.9123718606863E-6
4.4,2.7382380870899373E-4,2.7397053821364906E-4,2.676732412514855E-4,2.775389137813315E-4,1.4244268910990074E-4,4.92118171678705E-5,9.51347873250447E-6
4.45,2.764823950934992E-4,2.760028031355776E-4,2.7036569233463743E-4,2.8036443068102997E-4,1.4578926572437025E-4,5.144473636833565E-5,1.0136501393675064E-5
4.5,2.7904570458267926E-4,2.7803506805750634E-4,2.729550131246194E-4,2.830461306502418E-4,1.4901071808403978E-4,5.372162743290355E-5,1.0781439844198097E-5
