% Model,COMSOL_Three_Pipes_Phases_1_to_4.mph
% Version,COMSOL 6.3.0.420
% Date,"May 2 2026, 17:39"
% Table,Table 36 - c_CNN_Sensor_Phase_3
% Time (s),c_CNN_Sensor_Phase_3 (mol/m^3),c_CNN_Sensor_Phase_3 (mol/m^3),c_CNN_Sensor_Phase_3 (mol/m^3),c_CNN_Sensor_Phase_3 (mol/m^3),c_CNN_Sensor_Phase_3 (mol/m^3),c_CNN_Sensor_Phase_3 (mol/m^3)
43,0.3973253175198235,0.2243281315032052,0.3237992368111789,0.2470351378591939,0.27524389590435355,0.284864871943303
43.5,0.40817553220716474,0.23323187732640782,0.33388576547287635,0.25622818118082374,0.2845421245846611,0.2942810621597432
44,0.41999914369355407,0.24321527038458,0.3450176788744686,0.2664979104239324,0.2948856574062987,0.30474089091189205
44.5,0.43267202281592265,0.2542627907477944,0.35712428304430915,0.2778174767874793,0.3062487647657411,0.31621284157398066
45,0.4460450229471888,0.26632182022779677,0.37008903332488274,0.2901212253511045,0.31856663374239813,0.3286260344688124
45.5,0.4599432698071144,0.27930285510276115,0.38377617840064326,0.30330765596266057,0.3317377655447832,0.3418753215030865
46,0.4741813932580949,0.2930757655868431,0.39802520540060476,0.31723721851115566,0.3456317993522919,0.35582562786867994
46.5,0.48855949509671376,0.30750108969296447,0.4126649183901741,0.3317639229436077,0.36009844076312636,0.37032345627177293
47,0.5029035610857253,0.32242426259443757,0.4275169808972764,0.34672871728204774,0.37497529488731646,0.3852034885064037
47.5,0.5170504706226081,0.33768876431189787,0.44240892122425896,0.36197176319705365,0.390096970944188,0.40029752230928256
48,0.5308539585144593,0.353138464834446,0.4571941151394443,0.3773350761209566,0.4053036088645677,0.4154462106566937
48.5,0.5441878550192933,0.3686242243111201,0.4717346562791785,0.39267156814780896,0.4204453885969824,0.43049905298303226
49,0.5569534132399239,0.3840216534994724,0.48591068566208434,0.4078580920771152,0.43538577227906256,0.44532524525689704
49.5,0.5690811132928871,0.39921746857428475,0.4996176912574897,0.4227830839496723,0.4500095255032159,0.4598091567778579
50,0.5805195785353741,0.4141117545238149,0.5127790593635129,0.43734859325486664,0.46421749739289536,0.47385385937318547
50.5,0.5912365297858313,0.42861267857296004,0.5253335173851152,0.45146751239789995,0.4779302246892678,0.4873810565762589
51,0.6012199700838861,0.44264876016032023,0.5372297148376582,0.4650728681013085,0.49108402497662335,0.5003288664225292
51.5,0.6104753519670041,0.45615806960438704,0.5484382321420227,0.4781050043363318,0.5036279173125034,0.5126516395671769
52,0.6190224414969052,0.46908774005838844,0.5589424762733343,0.4905191033083967,0.5155268702256385,0.524317008893207
52.5,0.6268956405515376,0.48139265866837067,0.5687451838577441,0.5022804335496542,0.5267572483356413,0.5353065168199299
53,0.6341419939143421,0.4930437623348247,0.577858468976387,0.5133682458963708,0.5373095532845525,0.5456148908754119
53.5,0.6408150911674074,0.5040256541460786,0.5863102497656069,0.5237770911854793,0.547187991426635,0.5552481672972315
54,0.6469703684976501,0.514338317151473,0.5941430712285843,0.5335167748587097,0.5564091065844384,0.5642268918132337
54.5,0.6526706086820389,0.5239935783946312,0.6014096435962116,0.5426082549618622,0.5650015607376053,0.5725846019589201
55,0.6579809247720371,0.5330184641046029,0.6081639582191101,0.5510889609590617,0.5730044422264383,0.5803648924058742
55.5,0.6629703413192044,0.5414517684782462,0.6144655147238182,0.5590040324987825,0.5804690833790735,0.587620951940007
56,0.6677035948247205,0.549342619689929,0.6203809603012594,0.566408100776129,0.5874524541628855,0.5944127116523186
56.5,0.6722455663649334,0.5567499068376716,0.6259799098964478,0.5733618156672251,0.5940186631419209,0.600804021274922
57,0.6766658226807103,0.5637360927392245,0.6313317393094601,0.5799339354824435,0.6002372487076254,0.6068631196816976
57.5,0.6810366884143373,0.5703762999231534,0.6365009716937486,0.5861971047101028,0.6061781858409556,0.6126613274307018
58,0.6854365292110723,0.5767362357802942,0.6415599629684644,0.5922209990678399,0.6119130600378955,0.6182706617285231
58.5,0.6899360403261398,0.5828902015585002,0.6465847898324852,0.5980777140559165,0.6175140279779526,0.6237636559106573
59,0.6946136709485848,0.5889137085185833,0.6516536664129927,0.6038430284264478,0.6230561114993345,0.6292116945829656
59.5,0.699544362299458,0.5948864735776915,0.656837984061376,0.6095958770772729,0.6286114391791994,0.6346892549853388
60,0.7048059857199442,0.6008859128447872,0.662212404152594,0.6154126179081446,0.634253423824958,0.6402681321030594
60.5,0.7104593913158156,0.6069845778764604,0.6678510098626583,0.6213665149828098,0.6400521768261448,0.6460190139886677
61,0.7165599362179594,0.6132592356071789,0.6738205940472161,0.6275302745437427,0.6460764456467828,0.6520102202131866
61.5,0.7231526360550272,0.6197817301955156,0.6801865338698267,0.6339766595060344,0.6523907918452387,0.6583037260176001
62,0.7302675835424284,0.6266240630462,0.6869966444046629,0.6407741709675727,0.6590536274810653,0.6649590310854426
62.5,0.7379166433500921,0.633840476458195,0.6942914433126423,0.6479723134138962,0.6661163806955158,0.672024737266451
63,0.7460920994740695,0.6414799061297427,0.702095365971953,0.6556137085701511,0.6736191432427634,0.6795400303180069
63.5,0.7547683312278953,0.6495801311003035,0.7104151566670528,0.663733392464715,0.6815913231856136,0.6875309750478011
64,0.7639027417309348,0.6581628809571644,0.7192383643479234,0.6723484711176916,0.6900456324817966,0.696006506439389
64.5,0.7734309717147807,0.6672335976114456,0.7285370051725977,0.6814544950281402,0.6989793467253919,0.704961924851751
65,0.7832851037115304,0.676781744857157,0.7382674608404957,0.6910341189754834,0.708375346324067,0.7143756308210836
65.5,0.7933852284785112,0.6867854613554373,0.7483720603036137,0.7010571090807852,0.7182018323428033,0.7242130039101453
66,0.8036444206317901,0.6972055054548685,0.7587816789268214,0.7114815948419557,0.7284143200208155,0.734427017423972
66.5,0.8139317271389165,0.7079879876947779,0.7694233276912948,0.7222448863766547,0.7389553431948138,0.7449573428773637
67,0.8241954024204367,0.71907562582914,0.7802155092172234,0.7332839103970341,0.7497594425182317,0.755736139325253
67.5,0.8343452602451791,0.7304011544858783,0.791074955507438,0.744527914159916,0.7607540243875861,0.766688730119575
68,0.8443312459427789,0.7418931685246717,0.80191916377225,0.7559026628308873,0.7718601930393238,0.777736588138837
68.5,0.8540905261791553,0.7534733872244058,0.8126664504639696,0.7673292593871086,0.7829998114828273,0.7887994528179195
69,0.8635247249044685,0.7650658036605239,0.8232382455831166,0.7787292977286951,0.7940957547488334,0.7998000278505571
69.5,0.8726341191942307,0.7766012327948766,0.8335592694505839,0.7900336765807918,0.8050740134277016,0.8106657228171682
70,0.8813465208530129,0.7880117636244099,0.8432682626140712,0.8011756808815773,0.8158674144618611,0.8213294796958089
70.5,0.8896383324168354,0.799234003883193,0.8527567201325489,0.8120941296562848,0.826414107930432,0.8317314947343747
71,0.897488009440545,0.8102077038413663,0.86165203611335,0.8227313612726901,0.8366601596986515,0.8418182407782392
71.5,0.9049069996147048,0.8208855702926652,0.8702267734150522,0.8330436784720532,0.8465596555094727,0.8515468798217788
72,0.9118983247067419,0.8312251775990273,0.8784288563501974,0.842992615446046,0.8560761999777399,0.8608833719437353
