% Model,2D_turn_chemıical_reaction.mph
% Version,COMSOL 6.3.0.290
% Date,"May 25 2025, 11:16"
% Dimension,1
% Nodes,208
% Expressions,4
% Description,Global
% Time (s),Concentration; Concentration; Concentration; Concentration,Concentration; Concentration; Concentration; Concentration,Concentration; Concentration; Concentration; Concentration,Concentration; Concentration; Concentration; Concentration
3.9326679158796117E-4,0.09317181197824823,0.09317181197824359,9.906828188021757,9.906828188021738
4.0624229004586847E-4,0.09022267049470205,0.09022267049469739,9.9097773295053,9.909777329505284
4.192177885037758E-4,0.0874544915822609,0.08745449158225625,9.91254550841774,9.912545508417725
4.321932869616831E-4,0.08485111839228301,0.08485111839227837,9.915148881607719,9.915148881607701
4.451687854195904E-4,0.08239826051849329,0.08239826051848863,9.917601739481508,9.917601739481487
4.7111978233540505E-4,0.07789486305049328,0.07789486305048851,9.922105136949526,9.922105136949472
4.944756795596382E-4,0.0742430668923392,0.07424306689233433,9.925756933107696,9.925756933107618
5.178315767838714E-4,0.07091832373201104,0.07091832373200613,9.929081676268027,9.929081676267947
5.411874740081045E-4,0.06787851920241798,0.06787851920241311,9.932121480797617,9.932121480797543
5.645433712323377E-4,0.06508855275896161,0.06508855275895675,9.93491144724107,9.934911447240998
5.878992684565708E-4,0.06251888076915597,0.06251888076915112,9.937481119230878,9.9374811192308
6.112551656808039E-4,0.060144409352643605,0.06014440935263871,9.93985559064739,9.939855590647312
6.346110629050371E-4,0.05794369432942799,0.05794369432942309,9.942056305670604,9.942056305670526
6.579669601292702E-4,0.055898328889229035,0.05589832888922414,9.944101671110804,9.944101671110722
6.813228573535033E-4,0.053992431471927345,0.053992431471922446,9.946007568528108,9.946007568528024
7.046787545777365E-4,0.05221221551706731,0.05221221551706241,9.947787784482966,9.947787784482884
7.280346518019696E-4,0.05054564665024446,0.05054564665023956,9.949454353349788,9.949454353349708
7.513905490262028E-4,0.0489821755591869,0.048982175559181995,9.951017824440843,9.951017824440765
7.747464462504359E-4,0.047512521265167314,0.047512521265162415,9.952487478734861,9.952487478734785
7.98102343474669E-4,0.04612848697136511,0.04612848697136019,9.953871513028664,9.953871513028588
8.448141379231354E-4,0.04358907061769435,0.04358907061768944,9.956410929382333,9.956410929382267
8.868547529267551E-4,0.041531432142030714,0.041531432142025815,9.958468567857993,9.958468567857937
9.269941278389326E-4,0.039740296570316094,0.03974029657031121,9.960259703429706,9.960259703429653
9.671335027511101E-4,0.03809721901073854,0.03809721901073365,9.961902780989282,9.961902780989227
0.0010072728776632876,0.036584592963167996,0.03658459296316309,9.963415407036852,9.963415407036797
0.001047412252575465,0.0351875029214328,0.03518750292142791,9.964812497078587,9.964812497078528
0.0010875516274876425,0.03389319924334124,0.03389319924333636,9.966106800756677,9.966106800756622
0.00112769100239982,0.03269072859356697,0.03269072859356209,9.967309271406453,9.967309271406396
0.0011678303773119975,0.03157064780549951,0.03157064780549462,9.968429352194518,9.968429352194466
0.001207969752224175,0.0305247750743015,0.030524775074296618,9.969475224925718,9.969475224925667
0.0012481091271363525,0.029545977210983683,0.029545977210978805,9.970454022789037,9.970454022788983
0.00128824850204853,0.028628001809678404,0.02862800180967353,9.971371998190344,9.971371998190289
0.0013283878769607075,0.02776534798737122,0.027765347987366348,9.972234652012649,9.972234652012597
0.001368527251872885,0.026953160465424016,0.026953160465419145,9.973046839534593,9.973046839534545
0.0014086666267850625,0.026187137734662067,0.02618713773465719,9.97381286226535,9.973812862265305
0.0014889453766094175,0.024778725597735085,0.024778725597730204,9.975221274402271,9.975221274402234
0.0015692241264337724,0.023514125492103653,0.02351412549209879,9.976485874507903,9.976485874507869
0.0016495028762581274,0.022372356044219652,0.022372356044214788,9.977627643955792,9.977627643955755
0.0017297816260824824,0.021336316321798582,0.02133631632179372,9.978663683678214,9.978663683678173
0.0018100603759068374,0.0203919612084298,0.02039196120842494,9.979608038791582,9.979608038791541
0.0018903391257311924,0.01952764768792572,0.019527647687920858,9.980472352312086,9.980472352312045
0.0019706178755555474,0.01873362301165922,0.01873362301165436,9.981266376988355,9.981266376988312
0.0020508966253799023,0.018001647086471853,0.018001647086466992,9.981998352913543,9.9819983529135
0.0021311753752042573,0.017324716028221915,0.017324716028217058,9.98267528397179,9.982675283971753
0.0022114541250286123,0.016696845493409516,0.01669684549340465,9.9833031545066,9.983303154506565
0.0022917328748529673,0.016112891298533372,0.016112891298528494,9.983887108701477,9.98388710870144
0.0023720116246773223,0.015568403317440367,0.015568403317435482,9.984431596682574,9.984431596682533
0.0024522903745016773,0.015059510999823136,0.01505951099981825,9.984940489000195,9.98494048900015
0.0025325691243260322,0.014582833421780761,0.014582833421775878,9.98541716657824,9.985417166578195
0.0026128478741503872,0.014135405487047656,0.014135405487042774,9.98586459451297,9.985864594512929
0.002693126623974742,0.013714615689472088,0.013714615689467205,9.986285384310545,9.986285384310502
0.002773405373799097,0.013318154206100172,0.013318154206095287,9.986681845793917,9.986681845793875
0.002933962873447807,0.012590259299114052,0.012590259299109155,9.987409740700906,9.987409740700866
0.003,0.012313474378730005,0.012313474378725098,9.987686525621292,9.987686525621257
