% Model,COMSOL_3D_Pipe_1.mph
% Version,COMSOL 6.3.0.290
% Date,"Sep 29 2025, 10:19"
% Table,Table 20 - 3D_Pipe_1_Outlet_Concentration_Surface_Average
% Time (s),"Molar concentration, c2 (mol/m^3)"
2.63,0.9946597974867856
2.64,0.9947876310603149
2.65,0.9949138119447589
2.66,0.9950383401401192
2.67,0.9951612156463953
2.68,0.9952825548146921
2.69,0.9954026222154957
2.7,0.9955211396839714
2.71,0.9956381072201222
2.72,0.9957535248239441
2.73,0.9958673924954393
2.74,0.9959797102346075
2.75,0.996090478041449
2.7600000000000002,0.9961996826326482
2.77,0.9963072337655576
2.7800000000000002,0.9964132101092462
2.79,0.996517611663715
2.8000000000000003,0.996620438428963
2.81,0.9967216904049914
2.82,0.9968213675917995
2.83,0.9969194699893867
2.84,0.9970159975977538
2.85,0.9971105819181919
2.86,0.997203506256011
2.87,0.9972947741939122
2.88,0.9973843857318925
2.89,0.9974723408699536
2.9,0.9975586396080961
2.91,0.9976432819463165
2.92,0.9977262678846192
2.93,0.9978075974230014
2.94,0.9978872705614644
2.95,0.9979652873000072
2.96,0.9980416476386306
2.97,0.9981163515773338
2.98,0.9981893991161183
2.99,0.9982607902549819
3,0.9983305249939263
3.0100000000000002,0.9983988086822404
3.02,0.9984655493436425
3.0300000000000002,0.9985306676961624
3.04,0.9985941637398027
3.0500000000000003,0.9986560374745611
3.06,0.9987162889004391
3.0700000000000003,0.9987749180174352
3.08,0.9988319248255503
3.09,0.9988873093247849
3.1,0.9989410715151378
3.11,0.9989932113966096
3.12,0.9990437289692002
3.13,0.9990926242329106
3.14,0.9991398971877391
3.15,0.9991855478336871
3.16,0.999229576170754
3.17,0.9992727743423131
3.18,0.9993155624251016
3.19,0.9993569492102548
3.2,0.9993969346977747
3.21,0.9994355188876599
3.22,0.9994727017799092
3.23,0.9995084833745238
3.24,0.9995428636715041
3.25,0.9995758426708498
3.2600000000000002,0.9996074203725611
3.27,0.9996375967766367
3.2800000000000002,0.9996663718830789
3.29,0.9996937456918846
3.3000000000000003,0.9997197182030568
3.31,0.9997442894165943
3.3200000000000003,0.9997674593324968
3.33,0.9997896200384521
3.34,0.9998128044787077
3.35,0.9998349081506346
3.36,0.9998559310542303
3.37,0.9998758731894989
3.38,0.9998947345564376
3.39,0.9999125151550465
3.4,0.9999292149853276
3.41,0.9999448340472783
3.42,0.9999593723408998
3.43,0.9999728298661923
3.44,0.9999852066231566
3.45,0.9999965026117907
3.46,1.0000067178320955
3.47,1.0000158522840707
3.48,1.0000239059677178
3.49,1.0000308788830348
3.5,1.0000399228129484
3.5100000000000002,1.0000487571867662
3.52,1.000056933870593
3.5300000000000002,1.0000644528644287
3.54,1.0000713141682749
3.5500000000000003,1.0000775177821302
3.56,1.000083063705993
3.5700000000000003,1.0000879519398664
3.58,1.000092182483749
3.59,1.0000957553376408
3.6,1.0000986705015413
3.61,1.0001009279754511
3.62,1.0001025277593705
3.63,1.000103469853299
3.64,1.0001037542572357
