% Model,COMSOL_Three_Pipes_Phase_2.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 23 2026, 11:30"
% Table,Table 34 - c_CNN_Sensor_Phase_3
% Time (s),c_CNN_Sensor_Phase_2 (mol/m^3)
4.17,-1.7655751854786334E-59
4.18,-1.894209399851335E-59
4.19,-2.0290002982427228E-59
4.2,-2.169947880652787E-59
4.21,-2.3170521470815584E-59
4.22,-2.4703130975289846E-59
4.23,-2.6297307319951647E-59
4.24,-2.795305050479976E-59
4.25,-2.967036052983525E-59
4.26,-3.2049277581048756E-59
4.2700000000000005,-3.461099173954697E-59
4.28,-3.7325366996644017E-59
4.29,-4.019240335234016E-59
4.3,-4.321210080663639E-59
4.3100000000000005,-4.638445935953137E-59
4.32,-4.97094790110248E-59
4.33,-5.318715976111836E-59
4.34,-5.681750160981134E-59
4.3500000000000005,-6.060050455710354E-59
4.36,-6.4536168602994125E-59
4.37,-6.862449374748467E-59
4.38,-7.288127909943996E-59
4.39,-7.8931835495617046E-59
4.4,-8.537245058143493E-59
4.41,-9.220312435689242E-59
4.42,-9.942385682198935E-59
4.43,-1.0703464797672763E-58
4.44,-1.1503549782110565E-58
4.45,-1.2342640635512381E-58
4.46,-1.3220737357878104E-58
4.47,-1.4137839949207986E-58
4.48,-1.509394840950182E-58
4.49,-1.6089062738759534E-58
4.5,-1.7123182936981417E-58
4.51,-1.8226961481697186E-58
4.5200000000000005,-1.9800536053499113E-58
4.53,-2.147865217809247E-58
4.54,-2.3261309855477476E-58
4.55,-2.5148509085653363E-58
4.5600000000000005,-2.714024986862089E-58
4.57,-2.9236532204380037E-58
4.58,-3.143735609293003E-58
4.59,-3.374272153427223E-58
4.6000000000000005,-3.6152628528405875E-58
4.61,-3.866707707532988E-58
4.62,-4.128606717504614E-58
4.63,-4.400959882755353E-58
4.64,-4.700895717146685E-58
4.65,-5.133563982890173E-58
4.66,-5.596313668957235E-58
4.67,-6.08914477534795E-58
4.68,-6.61205730206221E-58
4.69,-7.16505124910019E-58
4.7,-7.748126616461763E-58
4.71,-8.361283404146897E-58
4.72,-9.004521612155677E-58
4.73,-9.677841240488101E-58
