% Model,COMSOL_3D_CNN_Design_1_2_Phase_2.mph
% Version,COMSOL 6.3.0.290
% Date,"Oct 16 2025, 12:17"
% Table,Table 5 - Concentration_Outlet_Pipe_2
% Time (s),Concentration_Outlet_Pipe_2 (mol/m^3)
29.35,84.5500035899584
29.400000000000002,84.55000132672747
29.450000000000003,84.54999906349653
29.5,84.54999680026559
29.55,84.54999453703466
29.6,84.54999227380374
29.650000000000002,84.54999001057284
29.700000000000003,84.54998774734194
29.75,84.549985484111
29.8,84.54998322088008
29.85,84.54998095764913
29.900000000000002,84.54997869441829
29.950000000000003,84.54997643118737
30,84.54997416795645
30.05,84.5499719047255
30.1,84.54996964149463
30.150000000000002,84.54996737826372
30.200000000000003,84.54996511503278
30.25,84.54996321217818
30.3,84.54996452227489
30.35,84.54996583237168
30.400000000000002,84.54996714246842
30.450000000000003,84.54996845256515
30.5,84.54996976266193
30.55,84.54997107275871
30.6,84.54997238285543
30.650000000000002,84.54997369295216
30.700000000000003,84.54997500304896
30.75,84.54997631314566
30.8,84.54997762324243
30.85,84.54997893333918
30.900000000000002,84.54998024343591
30.950000000000003,84.54998155353267
31,84.54998286362947
31.05,84.54998417372619
31.1,84.54998548382295
31.150000000000002,84.54998679391964
31.200000000000003,84.54998810401644
31.25,84.54998941411323
31.3,84.54999072420993
31.35,84.54999203430668
31.400000000000002,84.54999334440349
31.450000000000003,84.54999465450024
31.5,84.54999596459699
31.55,84.54999727469367
31.6,84.54999858479042
31.650000000000002,84.54999989488722
31.700000000000003,84.550001204984
31.75,84.55000251508069
31.8,84.5500038251775
31.85,84.55000513527423
31.900000000000002,84.55000644537097
31.950000000000003,84.55000775546772
32,84.55000906556452
32.050000000000004,84.5500103756613
32.1,84.55001168575802
32.15,84.55001299585474
32.2,84.55001430595152
32.25,84.55001561604824
32.300000000000004,84.55001692614498
32.35,84.55001823624173
32.4,84.55001954633846
32.45,84.55002085643524
32.5,84.55002216653199
32.550000000000004,84.55002347662871
32.6,84.55002478672552
32.65,84.55002609682228
32.7,84.55002740691901
32.75,84.55002871701573
32.800000000000004,84.55003002711254
32.85,84.55003133720929
32.9,84.55003264730603
32.95,84.55003395740276
33,84.55003526749951
33.050000000000004,84.5500365775963
33.1,84.55003788769305
33.15,84.55003919778979
33.2,84.55004050788656
33.25,84.5500418179833
33.300000000000004,84.55004312808002
33.35,84.55004443817678
33.4,84.55004574827353
33.45,84.55004705837032
33.5,84.55004800943948
33.550000000000004,84.55004761883845
33.6,84.55004722823752
33.65,84.5500468376364
33.7,84.55004644703534
33.75,84.55004605643431
33.800000000000004,84.55004566583328
33.85,84.55004527523228
33.9,84.55004488463122
33.95,84.55004449403019
34,84.55004410342919
34.050000000000004,84.5500437128281
34.1,84.5500433222271
34.15,84.55004293162605
34.2,84.55004254102501
34.25,84.55004215042395
34.300000000000004,84.55004175982299
34.35,84.55004136922194
34.4,84.5500409786209
34.45,84.5500405880199
34.5,84.55004019741877
34.550000000000004,84.55003980681775
34.6,84.5500394162167
34.65,84.55003902561573
34.7,84.55003863501469
34.75,84.55003824441357
34.800000000000004,84.55003785381263
34.85,84.55003746321158
34.9,84.55003707261055
34.95,84.55003668200955
35,84.55003629140846
35.050000000000004,84.5500359008074
35.1,84.55003551020638
35.15,84.55003511960537
35.2,84.55003472900437
35.25,84.55003433840334
35.300000000000004,84.55003394780223
35.35,84.55003355720117
35.4,84.55003316660022
35.45,84.55003277599918
35.5,84.55003238539814
35.550000000000004,84.55003199479712
35.6,84.55003160419605
35.65,84.55003121359502
35.7,84.550030822994
35.75,84.55003043239293
35.800000000000004,84.55003004179194
35.85,84.55002965119088
35.9,84.55002926058982
35.95,84.55002886998882
36,84.5500284793878
36.050000000000004,84.55002808878673
36.1,84.55002769818573
36.15,84.55002730758466
36.2,84.55002691698361
36.25,84.55002652638261
36.300000000000004,84.5500261357816
36.35,84.55002574518058
36.4,84.5500253545795
36.45,84.5500249639785
36.5,84.55002457337743
36.550000000000004,84.5500241827764
36.6,84.55002379217544
36.65,84.55002340157434
36.7,84.55002301097335
36.75,84.55002262037229
36.800000000000004,84.55002222977126
36.85,84.5500218391702
36.9,84.55002144856917
36.95,84.55002105796815
37,84.5500206673671
37.050000000000004,84.55002027676609
37.1,84.55001988616505
37.15,84.55001949556403
37.2,84.55001910496301
37.25,84.55001871436197
37.300000000000004,84.55001832376091
37.35,84.55001793315984
37.4,84.55001754255883
37.45,84.55001715195779
37.5,84.55001682632805
37.550000000000004,84.55001674349295
37.6,84.55001666065786
37.65,84.55001657782273
37.7,84.55001649498767
37.75,84.55001641215253
37.800000000000004,84.55001632931746
37.85,84.55001624648239
37.9,84.55001616364727
37.95,84.55001608081214
38,84.55001599797711
38.050000000000004,84.55001591514198
38.1,84.5500158323069
38.15,84.5500157494718
38.2,84.55001566663665
38.25,84.55001558380161
38.300000000000004,84.55001550096647
38.35,84.55001541813142
38.400000000000006,84.55001533529632
38.45,84.55001525246122
38.5,84.55001516962608
38.550000000000004,84.55001508679102
38.6,84.55001500395589
38.650000000000006,84.55001492112085
38.7,84.55001483828578
38.75,84.55001475545065
38.800000000000004,84.5500146726155
38.85,84.55001458978049
38.900000000000006,84.55001450694537
38.95,84.55001442411032
39,84.5500143412752
39.050000000000004,84.55001425844009
39.1,84.55001417560499
39.150000000000006,84.55001409276991
39.2,84.55001400993481
39.25,84.55001392709976
39.300000000000004,84.55001384426464
39.35,84.5500137614295
39.400000000000006,84.55001367859444
39.45,84.55001359575934
39.5,84.55001351292422
39.550000000000004,84.55001343008915
39.6,84.55001334725405
39.650000000000006,84.55001326441901
39.7,84.55001318158385
39.75,84.55001309874876
39.800000000000004,84.55001301591368
39.85,84.5500129330786
39.900000000000006,84.55001285024352
39.95,84.5500127674084
40,84.55001268457332
