% Model,COMSOL_3D_CNN_Design_1_2_Phase_2.mph
% Version,COMSOL 6.3.0.290
% Date,"Oct 16 2025, 15:53"
% Table,Table 5 - Concentration_Outlet_Pipe_2
% Time (s),Concentration_Outlet_Pipe_2 (mol/m^3),Concentration_Outlet_Pipe_2 (mol/m^3),Concentration_Outlet_Pipe_2 (mol/m^3),Concentration_Outlet_Pipe_2 (mol/m^3)
8.950000000000001,2.2872092386598215,0.050735030870221166,0.050735030870221166,0.8912546789420129
9,2.331065605624652,0.06231461844458742,0.06231461844458742,0.9801336314083248
9.05,2.3684105738192036,0.075811010574379,0.075811010574379,1.0720124816066843
9.1,2.4002873465480197,0.09135323364057227,0.09135323364057227,1.1658311779683779
9.15,2.4262601131344894,0.10989798132507039,0.10989798132507039,1.2610846232611415
9.200000000000001,2.447842194779539,0.13094891250636068,0.13094891250636068,1.3570153704301966
9.25,2.464746363360789,0.15511426485396035,0.15511426485396035,1.4524720349719913
9.3,2.4777271791625015,0.18284935386827822,0.18284935386827822,1.547260702411879
9.35,2.487212259997598,0.2137940905923208,0.2137940905923208,1.639696795784433
9.4,2.4933910779829844,0.24891189238622444,0.24891189238622444,1.7300766194325834
9.450000000000001,2.497338637519242,0.28798429519356866,0.28798429519356866,1.8163262860824538
9.5,2.498682778209688,0.3310124531785572,0.3310124531785572,1.8991545312207054
9.55,2.4990671722049442,0.3786434928499897,0.3786434928499897,1.976594878322041
9.600000000000001,2.49781044333733,0.43054913316740767,0.43054913316740767,2.049411597828171
9.65,2.49625528604578,0.48683926666580857,0.48683926666580857,2.116175420427354
9.700000000000001,2.4941791568084217,0.5476141296177923,0.5476141296177923,2.177349092276953
9.75,2.4920778700451343,0.6128000917221241,0.6128000917221241,2.232519796974756
9.8,2.4902839142530344,0.6819351067191114,0.6819351067191114,2.281717137238864
9.850000000000001,2.488627193579145,0.755094709453976,0.755094709453976,2.325131339619186
9.9,2.4872874596349117,0.8321714472046763,0.8321714472046763,2.3628008007540164
9.950000000000001,2.4861773353754346,0.9118805301128287,0.9118805301128287,2.395152786444181
10,2.485316871159029,0.9948601724360455,0.9948601724360455,2.4225651278288716
10.05,2.4846978184301616,1.080217307422525,1.080217307422525,2.4452828155138824
10.100000000000001,2.4842527458950747,1.1669717506693853,1.1669717506693853,2.4641006684664815
10.15,2.483991161707275,1.2558005062717057,1.2558005062717057,2.478924693911793
10.200000000000001,2.4838486458175844,1.344562072339954,1.344562072339954,2.490765538257754
10.25,2.4837837411027897,1.4334603470139884,1.4334603470139884,2.4992982042604455
10.3,2.483794410310608,1.522606763121709,1.522606763121709,2.505483582313342
10.350000000000001,2.483805980995465,1.6092884698282233,1.6092884698282233,2.5089473004248264
10.4,2.4838518742459437,1.694826680019152,1.694826680019152,2.5108559517755946
10.450000000000001,2.4838915441002647,1.778108188473425,1.778108188473425,2.5107841679158733
10.5,2.4839415454027214,1.8576751594180918,1.8576751594180918,2.510473167457268
10.55,2.4839855210143598,1.9344830835358846,1.9344830835358846,2.509682816615603
10.600000000000001,2.4840253610531344,2.0068019469753793,2.0068019469753793,2.508240864972407
10.65,2.484060174004779,2.074668663654655,2.074668663654655,2.506147312527669
10.700000000000001,2.484088143064437,2.138359700966534,2.138359700966534,2.504161273552923
10.75,2.4841111510350515,2.1964533659087913,2.1964533659087913,2.502458304835582
10.8,2.4841306628623965,2.2496292082009104,2.2496292082009104,2.5006276502962153
10.850000000000001,2.484146227607807,2.297734153821023,2.297734153821023,2.4986693099348103
10.9,2.484161669401225,2.3405302548051035,2.3405302548051035,2.4971516509817597
10.950000000000001,2.484175438476159,2.3781665495099142,2.3781665495099142,2.4959887091965887
11,2.484189220153947,2.411117852958093,2.411117852958093,2.495029480359755
11.05,2.4842028638404963,2.439412121861089,2.439412121861089,2.4942739644712684
11.100000000000001,2.484215731681678,2.4629841071794774,2.4629841071794774,2.4937076872498634
11.15,2.484227543639261,2.483159764242444,2.483159764242444,2.4933370352169058
11.200000000000001,2.4842379676855995,2.499316502877412,2.499316502877412,2.4931633050150315
11.25,2.484245633164857,2.511904425536437,2.511904425536437,2.4931771793535242
11.3,2.4842511638867326,2.521751957071961,2.521751957071961,2.4931590967203663
11.350000000000001,2.484253974365736,2.528360470410152,2.528360470410152,2.493241650788256
11.4,2.4842543001269415,2.5326913461207554,2.5326913461207554,2.4934248415571973
11.450000000000001,2.4842530432547245,2.534885236784888,2.534885236784888,2.4936757658177324
11.5,2.4842501474761627,2.534684570843006,2.534684570843006,2.4938482116111627
11.55,2.4842463856499983,2.5339220512688083,2.5339220512688083,2.4940405386214035
11.600000000000001,2.484242423385298,2.531751706329108,2.531751706329108,2.494252746848458
11.65,2.484238227162217,2.5286705485044085,2.5286705485044085,2.4944579317717177
11.700000000000001,2.484234939499303,2.5257616643240626,2.5257616643240626,2.494609086140134
11.75,2.4842320673057614,2.5223958092717536,2.5223958092717536,2.4947438178371018
11.8,2.4842306555014555,2.5192283111406577,2.5192283111406577,2.4948621268626185
11.850000000000001,2.484230286814018,2.516417736196748,2.516417736196748,2.4949569953462487
11.9,2.484231451077493,2.513736207203321,2.513736207203321,2.495023736130024
