% Model,COMSOL_3D_CNN_Design_1_2_Phase_2.mph
% Version,COMSOL 6.3.0.290
% Date,"Oct 16 2025, 14:47"
% Table,Table 4 - Concentration_Outlet_Pipe_1
% Time (s),Concentration_Outlet_Pipe_1 (mol/m^3),Concentration_Outlet_Pipe_1 (mol/m^3),Concentration_Outlet_Pipe_1 (mol/m^3)
3.5,7.033957102048228E-24,5.356154350419037E-25,-5.24520234773894E-34
3.5500000000000003,3.178365057758406E-23,7.844915351264252E-24,-1.1194974190548013E-33
3.6,1.4014773988490477E-22,4.9513025408983857E-23,-9.557012585633243E-34
3.6500000000000004,5.679933301472565E-22,1.7141343308750705E-22,7.440879213348875E-33
3.7,2.1039233317968737E-21,1.1266310541598126E-21,4.2208263181178996E-32
3.75,7.072533034536753E-21,5.404168414818591E-21,3.4883354182575586E-31
3.8000000000000003,2.7124739272313537E-20,1.8914616516197016E-20,1.804459000355909E-30
3.85,1.0065306736808115E-19,1.003802589454203E-19,6.321612270668774E-30
3.9000000000000004,3.487212347138265E-19,3.9656281566754133E-19,3.480113254327419E-29
3.95,1.1256955120059846E-18,1.343450414921872E-18,1.5074647282566687E-28
4,3.38298036578422E-18,5.831769034675686E-18,4.802801855583321E-28
4.05,1.1264125790946597E-17,1.958305005406336E-17,2.302271654978149E-27
4.1000000000000005,3.617652381083779E-17,6.33443994271553E-17,9.066080326263169E-27
4.15,1.0981745784380361E-16,2.325121656439103E-16,2.7038791728596176E-26
4.2,3.151394210045991E-16,6.857921378205509E-16,1.168310471476776E-25
4.25,8.568779477756314E-16,2.1049539217783758E-15,4.251425295256316E-25
4.3,2.5206546878527656E-15,6.72926969382665E-15,1.2026891513481134E-24
4.3500000000000005,7.151041069461909E-15,1.7886473712679542E-14,4.7215332155692126E-24
4.4,1.936199720570859E-14,5.1923372351453714E-14,1.6003347221178696E-23
4.45,5.0107784372622004E-14,1.4793333258835704E-13,4.3981463886586924E-23
4.5,1.2440040322385582E-13,3.611700635281395E-13,1.5531917089279075E-22
4.55,3.2770443678891093E-13,9.897106232210277E-13,4.932824946978953E-22
4.6000000000000005,8.339320069032671E-13,2.557983894725432E-12,1.3126080345877196E-21
4.65,2.040943300252796E-12,5.817969231937518E-12,4.231961218011601E-21
4.7,4.814148061291953E-12,1.5035872375645127E-11,1.2656888801415368E-20
4.75,1.0989167740970758E-11,3.5749520564397675E-11,3.255346936344901E-20
4.800000000000001,2.619665188967954E-11,7.71232437998712E-11,9.692638531277777E-20
4.8500000000000005,6.046270949183532E-11,1.86609342260442E-10,2.7415398329332476E-19
4.9,1.35079790780854E-10,4.1284782837446584E-10,6.810476014623735E-19
4.95,2.9285109490514285E-10,8.609672651830703E-10,1.8897924316245357E-18
5,6.186130476651443E-10,1.933933270275629E-9,5.073636611730906E-18
5.050000000000001,1.347702677457183E-9,4.03189858546996E-9,1.2171762187428606E-17
5.1000000000000005,2.8557273853975946E-9,8.159701684591778E-9,3.170801088436335E-17
5.15,5.9068267217528E-9,1.7381322055791994E-8,8.109634462511253E-17
5.2,1.1969886199315247E-8,3.47020434591171E-8,1.8798869319235505E-16
5.25,2.389200345378001E-8,6.86265428087603E-8,4.625647193479772E-16
5.300000000000001,4.900875173742318E-8,1.3855668842798091E-7,1.1288489479147126E-15
5.3500000000000005,9.807499174379992E-8,2.6376169157070483E-7,2.5273575877102517E-15
5.4,1.9173448898909497E-7,5.035216032693628E-7,5.900756683434258E-15
5.45,3.670590976921128E-7,9.638418244633493E-7,1.377966692864822E-14
