% Model,COMSOL_3D_CNN_Design_1_2_Phase_2.mph
% Version,COMSOL 6.3.0.290
% Date,"Oct 16 2025, 14:47"
% Table,Table 4 - Concentration_Outlet_Pipe_1
% Time (s),Concentration_Outlet_Pipe_1 (mol/m^3),Concentration_Outlet_Pipe_1 (mol/m^3),Concentration_Outlet_Pipe_1 (mol/m^3)
13.5,83.90957860769596,83.90951625873026,83.8947951354521
13.55,83.90962789187827,83.90956025922094,83.89459773900244
13.600000000000001,83.9096823962986,83.90961383059172,83.89444190506822
13.65,83.90975584455776,83.90967752014646,83.89432428310303
13.700000000000001,83.90984887081544,83.90976157763593,83.89422993699709
13.75,83.90995592410223,83.90986081554301,83.89416645705143
13.8,83.91007700441837,83.90997883171798,83.89412320555493
13.850000000000001,83.91023080317657,83.91012175733147,83.89409062849985
13.9,83.91042145972203,83.91028574437819,83.8940757824698
13.950000000000001,83.91063939648905,83.91047843387753,83.89406186579741
14,83.91088461347753,83.91070236288739,83.89405171429577
14.05,83.9111798478496,83.910954445401,83.89404636566289
14.100000000000001,83.91153491818913,83.9112541266796,83.89403577743212
14.15,83.91193523624887,83.91159596815808,83.89402494641003
14.200000000000001,83.91238080202884,83.91198179878504,83.8940140502145
14.25,83.91289925204623,83.91244432998808,83.89400328095994
14.3,83.91350963273632,83.91296715154546,83.89399250534122
14.350000000000001,83.91418985578109,83.91356366597877,83.89398818324912
14.4,83.91493992118073,83.91425849916554,83.8939896626156
14.450000000000001,83.91579534084751,83.91503646158503,83.8939964069957
14.5,83.91679203001547,83.91592890693967,83.89401431491909
14.55,83.91789461448874,83.91694780412914,83.89404050919809
14.600000000000001,83.91910309426753,83.91807972071769,83.89407345985687
14.65,83.9204596840715,83.9193805047408,83.89411119125994
14.700000000000001,83.92202460791665,83.92083598437038,83.89415500340931
14.75,83.9237451266368,83.92244655075272,83.89419288203885
14.8,83.92562124023209,83.92427841079295,83.89422515808853
14.850000000000001,83.92769642298298,83.92629863489921,83.89425442052574
14.9,83.9300568573594,83.92853153486443,83.89428066935018
14.950000000000001,83.93263352904874,83.93102527481476,83.89430390456221
15,83.93542643805094,83.93375063163415,83.89431869574658
15.05,83.93847351976038,83.93675774693911,83.89431951126073
15.100000000000001,83.9418796638336,83.940068368926,83.89431274668664
15.15,83.94556661775871,83.94365973128804,83.89429840202438
15.200000000000001,83.94953438153556,83.94765997530644,83.89427647727382
15.25,83.95381167730235,83.95204001494086,83.89425225926227
15.3,83.95851194423913,83.95678399790017,83.89422671013013
15.350000000000001,83.96355530246375,83.96189192418456,83.89419687421189
15.4,83.96894175197636,83.96736379379387,83.89416275150768
15.450000000000001,83.97468758352392,83.97323896030376,83.89412434201753
15.5,83.98088979877859,83.97957831286432,83.8940972655323
15.55,83.987483311173,83.98632038213206,83.89407686382798
15.600000000000001,83.99446812070707,83.99346516810725,83.89405939147252
15.65,84.00184956729657,84.00101267078966,83.89404484846601
15.700000000000001,84.00968151140209,84.00898575936431,83.89403323480825
15.75,84.01792926926589,84.01741250995258,83.89403417088569
15.8,84.02659284088801,84.0262638899125,83.89404190300205
15.850000000000001,84.03567173401578,84.03553989924426,83.8940560545536
15.9,84.04515434484456,84.04524053794775,83.89407662554049
15.950000000000001,84.05504788437767,84.05533101358144,83.89410266259708
16,84.06535235261505,84.06577941835558,83.89412742970623
16.05,84.07606774955659,84.07662270840248,83.89415577808862
16.1,84.08708338324664,84.08786088372199,83.89418770774401
16.150000000000002,84.09846523032616,84.09949394431428,83.89422321867256
16.2,84.11021387253834,84.11139494736689,83.89425931606931
16.25,84.12232930988293,84.12347972674077,83.89429009755396
16.3,84.13457358474604,84.13586157021173,83.89432077400174
16.35,84.1470704303131,84.14854047777979,83.89435134541263
16.400000000000002,84.15983245125267,84.16151644944479,83.89438181178652
16.45,84.172859647565,84.1745530828137,83.89441169840865
16.5,84.18583826738141,84.18754368952227,83.89444073100469
16.55,84.19890463771834,84.20066576399512,83.89446929936744
16.6,84.21209214652455,84.21391930623211,83.8944974034969
16.650000000000002,84.22540079380052,84.22730431623347,83.89452504339314
16.7,84.23849929519359,84.24050722241144,83.89456385647082
16.75,84.25149953272619,84.2534426981211,83.89461297229268
16.8,84.26445674351991,84.26630855223378,83.89466786887083
16.85,84.27737092757478,84.27910478474934,83.89472854620502
16.900000000000002,84.28992472370285,84.29183139566811,83.89479500429547
16.95,84.3021902327361,84.30414653101197,83.89489571902523
17,84.31424216459824,84.31600969220774,83.89501775250179
17.05,84.32608051928948,84.32760131563678,83.8951572465379
17.1,84.33743057230126,84.3389214012992,83.89531420113357
17.150000000000002,84.34831971565303,84.34996994919487,83.89549001660227
17.2,84.35883431450695,84.36043664206548,83.89572485427216
17.25,84.36897436886308,84.37032605918499,83.89599171997389
17.3,84.37855794925515,84.3797742398054,83.89629061370744
17.35,84.38757614151649,84.38878118392665,83.89662153547282
17.400000000000002,84.3961028459608,84.39734689154893,83.89699242896012
17.45,84.40413806258799,84.40531795634621,83.89743218415245
17.5,84.41163764346855,84.41271453566463,83.8979182733995
17.55,84.41859166518444,84.41959185382106,83.89845069670095
17.6,84.4250228394614,84.42594991081505,83.8990294540572
17.650000000000002,84.4309311662993,84.43178870664677,83.8996746987853
17.7,84.43618683432366,84.43696507821842,83.90040984585913
17.75,84.44073326533601,84.44151258150139,83.9012105738006
17.8,84.44465406682659,84.44547282939688,83.9020768826097
17.85,84.44794923879579,84.44884582190447,83.90300877228654
17.900000000000002,84.45084549317225,84.45163155902453,83.90405583634335
17.95,84.45350020103112,84.45420362779154,83.90522906644247
18,84.4557314749945,84.45644023512378,83.9064994331536
18.05,84.45753931506219,84.45825586123655,83.90786693647672
18.1,84.45896621130989,84.45965050612944,83.90933157641193
18.150000000000002,84.46005540419512,84.46062416980246,83.9109877079574
18.2,84.46076440495348,84.46139305485481,83.91280938961252
18.25,84.46109321358468,84.46186893836332,83.91477253055277
18.3,84.46112761355964,84.46201430157511,83.91687713077785
18.35,84.4609906931256,84.46182914449045,83.91912319028798
18.400000000000002,84.46057485078653,84.46131346710918,83.92164710517865
18.45,84.45988008654246,84.46081645847018,83.92436939338052
18.5,84.45900772002273,84.46016982072445,83.92728331025971
18.55,84.45815974981485,84.45933040380147,83.93038885581623
18.6,84.45717463767618,84.45829820770159,83.93370039905196
18.650000000000002,84.45605238360685,84.45707323242436,83.93733104482912
18.7,84.45485602703216,84.45603814971894,83.94120007125227
18.75,84.45376090258573,84.4549829087304,83.94530747832151
18.8,84.45263634637737,84.45387756399946,83.94965326603686
18.85,84.45148235840742,84.45272211552624,83.9542667150155
18.900000000000002,84.45032694338653,84.45151656331083,83.95920966278625
18.95,84.44928143308003,84.45043484294958,83.96442844330389
19,84.44826750284112,84.44937088451061,83.96992305656856
19.05,84.44728515266976,84.44831826154764,83.97569350258009
19.1,84.44635225160289,84.44727697406071,83.98176984926596
19.150000000000002,84.4455760402871,84.44624723274096,83.98817116864369
19.200000000000003,84.44488461721089,84.44547088849207,83.99487164783135
